"CTR","titleWords","adWords","depth","position","advCTR","advCTRInPos","queryCTR","queryCTRInPos","gender","age"
0.0791,12,19,3,1,0.0412,0.0492,0.0661,0.1029,"female","19-24"
0.0241,10,18,3,2,0.0343,0.0251,0.067,0.0523,"male","19-24"
0.0186,10,23,1,1,0.0053,0.0059,0.0185,0.0198,"male","25-30"
0,6,18,2,2,0.0129,0.0113,0.0117,0.0087,"male","25-30"
0.018,9,19,2,2,0.0137,0.0184,0.0247,0.0043,"male","0-12"
0.0686,9,25,1,1,0.0432,0.0608,0.0625,0.0726,"male","41+"
0,12,18,2,1,0.0046,0.0137,0.0072,0.0101,"male","31-40"
0.0252,8,24,3,1,0.0427,0.0492,0.0146,0.0309,"male","25-30"
0.0315,7,14,1,1,0.0386,0.045,0.0184,0.0225,"male","19-24"
0.0344,10,21,3,1,0.0545,0.0674,0.044,0.0636,"male","13-18"
0.0092,10,13,2,2,0.0274,0.0221,0.0206,0.0109,"male","13-18"
0.0042,8,20,2,1,0.0234,0.0263,0.0205,0.0293,"unknown","unknown"
0.0805,8,21,2,2,0.0423,0.0305,0.0879,0.0545,"unknown","unknown"
0.0235,4,22,2,1,0.016,0.0181,0.0079,0.0099,"male","19-24"
0.0154,12,25,3,3,0.0304,0.0093,0.0911,0.0304,"female","19-24"
0,5,22,2,2,0.1053,0.0419,0.006,0.0027,"male","25-30"
0.0649,8,20,3,1,0.0336,0.0446,0.0252,0.0421,"male","19-24"
0.0785,9,16,2,1,0.0309,0.0403,0.0762,0.0977,"female","31-40"
0.5,10,27,2,1,0.2254,0.2334,0.0241,0.0901,"female","19-24"
0.0214,4,25,1,1,0.1105,0.1312,0.0101,0.0211,"unknown","unknown"
0.067,9,19,3,1,0.021,0.0239,0.1028,0.1407,"male","19-24"
0.4019,5,23,2,1,0.098,0.1101,0.0445,0.0604,"unknown","unknown"
0,12,14,1,1,0.0256,0.0314,0.0098,0.0177,"female","19-24"
0.1305,6,18,2,2,0.1026,0.082,0.0308,0.0168,"unknown","unknown"
0.039,8,22,2,1,0.0211,0.024,0.0442,0.0594,"male","13-18"
0.0077,3,21,2,1,0.0161,0.018,0.0337,0.0538,"male","31-40"
0.0647,8,24,1,1,0.0273,0.0356,0.0232,0.0272,"male","19-24"
0.0267,8,21,3,2,0.0452,0.0269,0.1563,0.0576,"unknown","unknown"
0.043,13,26,3,3,0.0317,0.0238,0.0334,0.0114,"male","19-24"
0,9,28,1,1,0.036,0.0552,0.0023,0.0028,"male","19-24"
0.1304,8,14,2,1,0.0165,0.0252,0.2687,0.335,"unknown","unknown"
0.087,13,27,1,1,0.0795,0.0812,0,0,"female","13-18"
0.0064,7,20,1,1,0.0249,0.0306,0.0083,0.009,"male","19-24"
0.0079,8,30,2,2,0.0573,0.0279,0.0349,0.0195,"unknown","unknown"
0.0441,8,27,1,1,0.0342,0.0455,0.0361,0.1416,"male","19-24"
0,12,20,3,2,0.0455,0.0206,0.1055,0.0337,"female","0-12"
0.0696,8,18,2,1,0.0839,0.1197,0.0331,0.0364,"female","19-24"
0.0367,4,20,2,1,0.1936,0.1958,0.0254,0.0406,"male","19-24"
0.1021,11,26,2,1,0.0469,0.0505,0.0164,0.0253,"male","13-18"
0.0727,12,20,1,1,0.0556,0.0598,0.0266,0.04,"male","31-40"
0.0111,7,22,1,1,0.0395,0.0433,0.0057,0.0063,"male","19-24"
0.0909,6,21,1,1,0.0426,0.0491,0.0745,0.1331,"female","19-24"
0.0134,10,19,2,2,0.0494,0.0412,0.0245,0.0142,"unknown","unknown"
0.0267,12,29,2,1,0.038,0.0493,0.0342,0.0431,"male","19-24"
0.0764,16,25,2,1,0.0403,0.0444,0.083,0.0912,"male","19-24"
0,8,24,2,2,0.0157,0.0098,0.0058,0.001,"female","19-24"
0,8,22,3,2,0.0465,0.0358,0.0218,0.0154,"unknown","unknown"
0.0236,9,21,2,1,0.0234,0.0313,0.0233,0.0292,"female","19-24"
0.0944,14,28,2,1,0.0404,0.0611,0.0852,0.0887,"unknown","unknown"
0.025,11,29,3,1,0.0211,0.024,0.0483,0.0636,"unknown","unknown"
0.2579,11,29,2,1,0.0527,0.0747,0.1416,0.1939,"male","41+"
0.032,7,25,2,1,0.0242,0.0297,0.0082,0.0108,"male","19-24"
0.1667,10,19,2,2,0.0484,0.0392,0.1024,0.0422,"male","31-40"
0,10,23,3,1,0.0192,0.0219,0.022,0.0322,"unknown","unknown"
0.0278,7,17,2,1,0.0196,0.0221,0.064,0.0789,"male","25-30"
0.0212,13,25,2,2,0.0542,0.038,0.0739,0.0445,"male","13-18"
0.2042,11,27,1,1,0.073,0.1049,0.1252,0.1678,"unknown","unknown"
0.0126,8,21,2,2,0.0245,0.0147,0.0167,0.017,"female","25-30"
0.0429,6,14,2,1,0.0273,0.0356,0.0282,0.0343,"male","19-24"
0.0756,3,19,1,1,0.0345,0.0345,0.0014,0,"male","0-12"
0.0504,12,25,2,1,0.0297,0.0374,0.0358,0.041,"unknown","0-12"
0.0291,6,14,2,1,0.0273,0.0356,0.0268,0.0365,"unknown","unknown"
0,16,26,2,2,0.0276,0.0129,0.0405,0.015,"male","19-24"
0.0179,3,10,2,2,0.0247,0.0244,0.026,0.0129,"male","19-24"
0.0435,11,18,3,3,0.0796,0.0343,0.1861,0.0456,"female","19-24"
0.0166,7,22,2,2,0.0427,0.0309,0.0221,0.0085,"female","31-40"
0,11,23,2,2,0.0192,0.0146,0.0193,0.0098,"female","31-40"
0.0216,8,26,1,1,0.0426,0.0491,0.0193,0.0196,"female","25-30"
0.0347,10,25,2,2,0.0426,0.0309,0.017,0.0128,"male","13-18"
0.0107,6,14,2,2,0.0273,0.0221,0.0715,0.0167,"female","13-18"
0.0079,8,25,1,1,0.0427,0.0493,0.0064,0.0086,"female","0-12"
0.0063,6,27,2,1,0.0345,0.0394,0.0048,0.0057,"male","25-30"
0.1046,12,20,2,1,0.057,0.061,0.0277,0.0563,"female","0-12"
0.0221,11,24,2,2,0.0452,0.0415,0.0218,0.013,"male","13-18"
0.095,1,21,2,1,0.154,0.1601,0.015,0.0166,"male","13-18"
0.0533,14,28,1,1,0.0436,0.0649,0.029,0.037,"male","13-18"
0.006,12,20,3,1,0.0299,0.0348,0.0301,0.0476,"female","19-24"
0.033,5,24,2,1,0.0587,0.0661,0.0183,0.0278,"male","0-12"
0,6,18,2,1,0.0241,0.0296,0.0018,0.0021,"female","19-24"
0.0074,3,25,2,1,0.0161,0.0181,0.0524,0.0732,"female","25-30"
0.0367,16,20,2,1,0.0257,0.0323,0.0306,0.0468,"female","25-30"
0.1014,8,22,2,2,0.0443,0.0386,0.0872,0.0613,"male","31-40"
0.1002,10,25,2,1,0.0429,0.0517,0.094,0.1114,"unknown","unknown"
0.0278,9,22,1,1,0.0249,0.0314,0.0145,0.0204,"unknown","unknown"
0.0147,6,16,2,2,0.0284,0.019,0.0317,0.0063,"unknown","unknown"
0.0319,6,26,2,2,0.0426,0.0308,0.046,0.0414,"male","13-18"
0.0312,8,26,2,1,0.0288,0.0308,0.0399,0.0422,"unknown","unknown"
0.046,6,22,1,1,0.0427,0.0493,0.0106,0.0149,"unknown","0-12"
0.0297,9,20,2,1,0.0426,0.0491,0.0405,0.0698,"male","13-18"
0.0512,12,25,1,1,0.0272,0.0356,0.002,0.0023,"male","31-40"
0.0099,9,22,2,1,0.0168,0.0197,0.019,0.0328,"male","19-24"
0.0932,8,26,3,2,0.0425,0.0307,0.0393,0.0167,"unknown","unknown"
0,9,22,2,2,0.0037,0.0021,0.0243,0.013,"female","19-24"
0.062,7,19,2,1,0.009,0.0101,0.039,0.0443,"male","13-18"
0.0208,5,15,2,1,0.0161,0.018,0.0522,0.0706,"male","25-30"
0.007,11,19,2,2,0.0188,0.0099,0.0776,0.056,"male","41+"
0.1412,13,31,2,1,0.0569,0.0814,0.0222,0.0287,"male","19-24"
0,7,19,2,1,0.022,0.0233,0.048,0.0523,"male","41+"
0.0086,7,28,2,2,0.0152,0.0116,0.0193,0.0097,"female","31-40"
0.0195,11,25,2,2,0.0453,0.0269,0.0761,0.024,"unknown","unknown"
0.2338,10,25,2,1,0.0358,0.0427,0.0265,0.048,"female","25-30"
0.0328,9,17,1,1,0.0273,0.0356,0.0226,0.0263,"male","31-40"
0.0025,6,14,2,2,0.0273,0.0221,0.0211,0.0115,"unknown","unknown"
0.0347,9,17,3,1,0.0547,0.0676,0.0535,0.0799,"male","19-24"
0.0127,8,25,2,2,0.0426,0.0309,0.0356,0.0213,"male","19-24"
0.193,10,20,3,3,0.0825,0.0468,0.1231,0.0797,"male","25-30"
0.0268,7,23,1,1,0.0427,0.0491,0.0424,0.0451,"female","0-12"
0.1271,10,18,3,1,0.0531,0.0703,0.0869,0.113,"unknown","unknown"
0.0071,11,26,3,3,0.0283,0.0157,0.0469,0.0179,"female","19-24"
0.0023,11,22,3,3,0.0772,0.0594,0.0366,0.0082,"male","13-18"
0.0174,11,29,2,1,0.0174,0.0221,0.0506,0.0766,"male","19-24"
0.1745,14,25,2,1,0.0287,0.0489,0.0722,0.0982,"male","13-18"
0.0175,7,25,1,1,0.0241,0.0295,0.0111,0.0224,"unknown","unknown"
0.0347,15,22,2,1,0.0313,0.032,0.014,0.0204,"male","13-18"
0.0323,8,24,3,2,0.0426,0.0309,0.0431,0.0289,"female","19-24"
0.1996,10,27,1,1,0.0694,0.0732,0,0,"male","25-30"
0.0092,8,24,2,2,0.0273,0.0221,0.0311,0.0133,"male","19-24"
0.1576,3,23,1,1,0.1153,0.1175,0.0243,0.0452,"female","19-24"
0.0292,5,15,1,1,0.0285,0.0338,0.013,0.0272,"female","41+"
0.0162,13,25,1,1,0.0073,0.0075,0.0086,0.0118,"male","13-18"
0.0143,10,25,2,1,0.0134,0.0273,0.0293,0.0414,"male","13-18"
0.0079,7,22,3,3,0.0248,0.0121,0.154,0.0318,"unknown","unknown"
0.0934,7,30,1,1,0.0248,0.0274,0.1584,0.2278,"unknown","unknown"
0.029,8,30,2,2,0.0574,0.028,0.0258,0.0099,"male","25-30"
0.0185,16,25,2,1,0.005,0.0057,0.0258,0.0361,"female","31-40"
0.1694,10,27,2,1,0.0622,0.0622,0.1091,0.1382,"unknown","unknown"
0.0162,11,13,1,1,0.029,0.0312,0,0,"male","0-12"
0.0171,6,21,2,2,0.057,0.0334,0.024,0.0159,"female","31-40"
0.0128,12,14,2,1,0.0251,0.0305,0.0133,0.033,"female","31-40"
0.2769,7,26,2,2,0.1046,0.0829,0.1933,0.0606,"female","31-40"
0.0083,12,23,2,1,0.0305,0.0355,0.0027,0.0044,"male","31-40"
0.0169,6,14,1,1,0.0274,0.0357,0.0146,0.0152,"male","19-24"
0,7,17,3,3,0.0229,0.0088,0.0432,0.0142,"unknown","unknown"
0.0081,8,19,2,2,0.0189,0.0199,0.0035,4e-04,"female","13-18"
0.1373,9,23,2,1,0.1969,0.2072,0.1189,0.1587,"female","19-24"
0.0552,9,24,2,2,0.0684,0.0534,0.0706,0.0404,"female","19-24"
0.0097,6,16,1,1,0.0337,0.0418,0.0175,0.0193,"female","25-30"
0.0464,10,22,1,1,0.0508,0.0463,0.0604,0.1262,"female","25-30"
0.0473,6,20,3,2,0.0357,0.0275,0.0713,0.0559,"unknown","unknown"
0,6,23,3,3,0.006,0.0012,0.0022,2e-04,"unknown","unknown"
0.1296,6,26,3,2,0.1055,0.085,0.1624,0.1212,"unknown","unknown"
0.0545,9,25,1,1,0.0273,0.0356,0.0437,0.0454,"male","19-24"
0,8,19,2,2,0.0168,0.009,0.0084,0.007,"male","25-30"
0,8,22,2,2,0.0231,0.0178,0.0114,0.0023,"male","31-40"
0.0403,8,26,3,1,0.0909,0.0965,0.1882,0.0335,"female","31-40"
0.0314,4,18,3,2,0.0358,0.0278,0.0494,0.0278,"male","19-24"
0.0335,16,25,2,1,0.0445,0.0489,0.0227,0.0331,"female","25-30"
0.0266,9,22,2,2,0.0518,0.0724,0.0545,0.0084,"female","13-18"
0.0256,5,15,3,2,0.016,0.0097,0.1048,0.0841,"unknown","unknown"
0.4038,9,34,1,1,0.0644,0.1001,0.2109,0.2177,"female","19-24"
0.0487,10,26,2,2,0.0501,0.0527,0.1006,0.0739,"female","13-18"
0.0288,11,26,2,1,0.0552,0.059,0.0163,0.0183,"male","19-24"
0.0182,12,25,2,2,0.0305,0.0144,0.062,0.0221,"female","13-18"
0.0283,12,24,3,3,0.0353,0.0119,0.0475,0.0097,"male","25-30"
0.099,8,25,2,1,0.0426,0.0491,0.0268,0.0623,"female","19-24"
0.042,11,26,1,1,0.0558,0.0598,0.0387,0.0392,"female","31-40"
0.0083,6,16,1,1,0.0285,0.0337,0.0807,0.1114,"female","13-18"
0.0196,7,23,2,1,0.0427,0.0492,0.0133,0.0168,"female","25-30"
0.044,10,24,2,1,0.0312,0.0564,0.0458,0.0676,"male","31-40"
0.0487,6,23,1,1,0.0426,0.0491,0.0215,0.0289,"female","25-30"
0.1043,11,24,2,2,0.0538,0.0375,0.0835,0.0623,"male","25-30"
0.3972,5,21,1,1,0.1656,0.1675,0.0072,0.009,"male","0-12"
0.04,7,15,1,1,0.0273,0.0356,0.04,0.0459,"female","31-40"
0.0492,10,23,2,2,0.0336,0.0301,0.1242,0.1055,"male","19-24"
0.017,8,19,2,2,0.0472,0.0342,0.0433,0.0201,"unknown","unknown"
0,9,27,3,1,0.0246,0.032,0,0,"unknown","unknown"
0.0396,8,26,2,2,0.0426,0.0308,0.1116,0.0754,"female","31-40"
0.0165,14,24,2,1,0.0304,0.0354,0.0812,0.1234,"female","19-24"
0,7,20,1,1,0.0248,0.0262,0.0036,0.0036,"female","13-18"
0.0775,11,16,2,1,0.0307,0.0435,0.0452,0.0578,"male","25-30"
0.0256,7,24,2,2,0.0426,0.0308,0.0368,0.0174,"female","13-18"
2e-04,8,26,2,1,0.0068,0.0098,4e-04,5e-04,"unknown","unknown"
0.0652,12,17,2,2,0.0683,0.0219,0.1421,0.0878,"unknown","unknown"
0.139,9,23,2,1,0.1967,0.2077,0.109,0.1532,"male","19-24"
0.0876,10,29,2,2,0.0651,0.0508,0.1391,0.0874,"unknown","unknown"
0.0101,3,25,1,1,0.0162,0.0182,0.0312,0.0017,"male","13-18"
0.0394,11,25,2,2,0.0519,0.0434,0.0321,0.0217,"unknown","unknown"
0.0452,7,22,2,1,0.021,0.0239,0.0445,0.0693,"female","25-30"
0.0093,12,29,2,2,0.0355,0.0189,0.1329,0.0032,"male","41+"
0.009,6,14,2,2,0.0273,0.0221,0.0123,0.0049,"female","13-18"
0,10,24,2,1,0.0055,0.0091,0.0048,0.0058,"male","13-18"
0.0647,9,28,3,1,0.0565,0.0828,0.1142,0.1503,"unknown","unknown"
0,11,24,2,2,0.0273,0.0221,0.0179,0.0079,"male","19-24"
0.0882,8,24,2,1,0.0426,0.0491,0.0347,0.0533,"male","41+"
0.1688,2,19,2,1,0.0474,0.0545,0.0613,0.0844,"unknown","unknown"
0.027,8,26,2,1,0.0311,0.0406,0.0038,0.0059,"female","25-30"
0.0078,8,22,3,1,0.015,0.0184,0.0362,0.049,"unknown","unknown"
0.0094,4,21,3,2,0.0161,0.0098,0.1319,0.1234,"unknown","unknown"
0.06,10,24,2,1,0.0198,0.0252,0.0241,0.0327,"male","19-24"
0.1419,14,28,1,1,0.0409,0.0611,0.1156,0.1159,"female","0-12"
0.0209,15,28,2,2,0.0442,0.0227,0.0147,0.008,"female","0-12"
0.007,6,22,2,1,0.0211,0.024,0.0482,0.0728,"unknown","unknown"
0.1229,12,24,1,1,0.0471,0.0686,0.1147,0.1148,"unknown","unknown"
0.0487,6,22,1,1,0.0427,0.0491,0.0763,0.0777,"female","19-24"
0.0253,9,17,2,2,0.0245,0.0244,0.1049,0.0596,"female","19-24"
0.0776,5,18,2,1,0.0229,0.0268,0.0454,0.093,"female","13-18"
0.0147,9,24,2,2,0.0279,0.0174,0.0225,0.0182,"unknown","unknown"
0.0074,11,23,1,1,0.0496,0.0557,0.004,0.004,"male","25-30"
0.0468,5,21,1,1,0.0238,0.0289,0.0221,0.0259,"male","0-12"
0.0401,11,21,2,2,0.0445,0.0392,0.0704,0.0561,"female","19-24"
0.3551,6,22,2,2,0.1033,0.086,0.0577,0.0403,"unknown","unknown"
0.0053,11,19,2,2,0.0177,0.0083,0.0572,0.043,"unknown","unknown"
0.0069,5,20,2,2,0.0344,0.0366,0.0236,0.0079,"male","19-24"
0.0388,8,11,2,2,0.0812,0.0825,0.1464,0.0411,"female","19-24"
0.0811,8,24,2,1,0.0426,0.0491,0.0514,0.0821,"female","19-24"
0.0948,9,25,1,1,0.0465,0.0615,0.0753,0.0775,"female","25-30"
0.0163,9,21,2,1,0.0197,0.0314,0.023,0.0291,"unknown","unknown"
0.0123,10,24,1,1,0.0495,0.0556,0.0261,0.0325,"female","13-18"
0.0069,12,25,2,2,0.0303,0.0168,0.089,0.0622,"unknown","unknown"
0.0347,15,25,2,1,0.0284,0.0337,0.0827,0.1262,"male","19-24"
0.0258,6,20,1,1,0.0962,0.1033,0.002,0.005,"female","0-12"
0.0336,13,25,3,2,0.0231,0.0131,0.0241,0.0178,"unknown","unknown"
0.0159,14,27,2,2,0.0445,0.02,0.0177,0.0115,"female","19-24"
0.2936,7,24,1,1,0.0686,0.0798,0.0585,0.0949,"unknown","unknown"
0,8,22,2,2,0.0059,0.0029,0.0152,0.0067,"unknown","unknown"
0.0093,9,26,2,2,0.0426,0.0309,0.027,0.0201,"male","25-30"
0.0282,7,19,2,2,0.0273,0.0221,0.0504,0.0213,"male","19-24"
0.0013,12,23,1,1,0.0847,0.118,0.001,0.0014,"male","19-24"
0.0599,1,22,2,1,0.0478,0.0551,0.0383,0.0543,"unknown","unknown"
0.0081,11,28,2,1,0.0304,0.0353,0.0589,0.0869,"male","31-40"
0.0185,8,30,2,2,0.0401,0.0296,0.0409,0.0271,"unknown","unknown"
0.0106,11,23,3,1,0.0273,0.0356,0.0139,0.0315,"female","25-30"
0.0097,16,28,2,2,0.0284,0.019,0.1635,0.012,"unknown","unknown"
0.1267,8,15,2,2,0.0273,0.022,0.0644,0.0474,"female","19-24"
0.0922,7,26,2,1,0.0426,0.0491,0.0624,0.093,"unknown","unknown"
0,12,24,2,2,0.0368,0.0271,0.0576,0.0135,"male","19-24"
0.0172,12,25,3,3,0.0305,0.0107,0.0622,0.0198,"male","13-18"
0.0504,13,29,2,1,0.03,0.035,0.0596,0.0698,"male","31-40"
0.0976,8,21,2,2,0.0476,0.0315,0.0561,0.0522,"unknown","unknown"
0.0366,3,19,1,1,0.038,0.038,0.0075,0.0147,"female","25-30"
0.068,9,21,2,2,0.0247,0.0213,0.0616,0.041,"female","31-40"
0.0376,11,23,1,1,0.0493,0.0553,0.0173,0.0208,"female","25-30"
0.0213,11,23,1,1,0.019,0.0243,0.0097,0.0114,"female","25-30"
0.0087,14,28,1,1,0.0436,0.0645,0.0679,0.1007,"female","13-18"
0.6205,7,23,1,1,0.1545,0.1561,0,0,"male","13-18"
0.2995,3,9,2,1,0.282,0.299,0.0369,0.0499,"female","25-30"
0.0089,7,20,2,2,0.0193,0.0172,0.0393,0.0134,"male","19-24"
0.037,9,18,1,1,0.0077,0.0132,0.0273,0.037,"unknown","unknown"
0.168,10,26,2,1,0.0426,0.0491,0.0935,0.1195,"male","41+"
0.068,10,26,3,1,0.0191,0.0227,0.0281,0.0418,"male","19-24"
0,13,24,2,2,0.0359,0.0311,0.4933,0.4491,"male","19-24"
0.0455,16,26,1,1,0.1034,0.1111,0,0,"male","13-18"
0.026,4,7,3,1,0.016,0.018,0.0998,0.1728,"male","19-24"
0.1532,4,13,2,1,0.0284,0.0336,0.0628,0.0786,"female","25-30"
0.0097,10,15,1,1,0.0273,0.0356,0.0082,0.0101,"male","13-18"
0.0924,9,25,2,1,0.0572,0.0693,0.2337,0.3736,"unknown","unknown"
0.0043,12,28,1,1,0.0276,0.0448,0.0218,0.0283,"unknown","unknown"
0.0458,13,22,1,1,0.0547,0.0674,0.052,0.0482,"unknown","unknown"
0.0351,8,20,3,1,0.0163,0.0234,0.0351,0.0431,"unknown","unknown"
0.0279,7,15,2,2,0.0273,0.022,0.0586,0.0415,"female","19-24"
0.0166,11,22,2,2,0.0337,0.0302,0.0152,0.0091,"male","19-24"
0.1671,8,23,2,1,0.1438,0.1728,0.0946,0.1271,"female","19-24"
0.0511,6,24,1,1,0.0204,0.0234,0.0269,0.0314,"male","13-18"
0.0177,9,32,3,1,0.0244,0.0302,0.0179,0.0609,"male","41+"
0.0711,10,21,2,2,0.0493,0.041,0.0678,0.0407,"unknown","unknown"
0.0596,8,7,1,1,0.0615,0.0646,0.0216,0.0258,"male","13-18"
0.0072,5,22,2,1,0.0233,0.0243,0.0235,0.0351,"male","13-18"
0.0302,7,22,1,1,0.0426,0.0492,0.0284,0.0382,"female","19-24"
0.0488,7,21,2,1,0.054,0.0702,0.023,0.0392,"female","25-30"
0.0736,7,22,2,1,0.0229,0.0238,0.0415,0.052,"male","19-24"
0.1287,6,17,2,1,0.0273,0.0356,0.0666,0.09,"female","19-24"
0.0118,7,22,2,1,0.0193,0.0219,0.0227,0.0376,"male","41+"
0,12,14,2,2,0.0251,0.013,0.0607,0.0529,"female","25-30"
0.0504,11,18,3,1,0.0796,0.1028,0.1283,0.1825,"unknown","unknown"
0.0362,5,22,2,2,0.0467,0.0412,0.0299,0.0261,"unknown","unknown"
0.0049,12,25,1,1,0.0211,0.024,0.0356,0.0359,"unknown","unknown"
0.0141,8,26,1,1,0.0728,0.0867,0.0229,0.0294,"unknown","unknown"
0.1176,7,21,2,1,0.0512,0.0645,0.0582,0.0827,"unknown","unknown"
0.0278,12,20,2,2,0.0351,0.0266,0.0707,0.0499,"male","31-40"
0.1052,6,20,1,1,0.0897,0.0963,0.0042,0.005,"unknown","unknown"
0.0128,6,22,2,2,0.0284,0.019,0.03,0.0183,"male","13-18"
0.059,6,22,1,1,0.1838,0.186,0.0039,0.0062,"female","31-40"
0.0231,3,13,2,1,0.016,0.0179,0.0195,0.0292,"male","41+"
0.1399,2,19,2,1,0.0477,0.0548,0.046,0.0662,"unknown","unknown"
0.1984,6,25,1,1,0.0598,0.0717,0.1264,0.1264,"male","13-18"
0.0213,15,28,2,2,0.0462,0.0342,0.041,0.0171,"female","19-24"
0.1,5,21,3,3,0.0444,0.042,0.1301,0.0382,"unknown","unknown"
0.0321,8,25,3,1,0.0426,0.0491,0.0154,0.026,"unknown","unknown"
0.0088,6,22,1,1,0.0364,0.0501,0.0081,0.0096,"male","19-24"
0.0092,6,14,2,2,0.0273,0.0221,0.0106,0.0073,"female","13-18"
0.1,4,7,2,1,0.0159,0.0178,0.0912,0.0968,"female","41+"
0.0396,15,28,2,2,0.0435,0.0224,0.0403,0.0273,"female","0-12"
0.0057,14,25,2,1,0.0146,0.03,0.0179,0.0275,"female","19-24"
0.0138,8,23,3,2,0.0384,0.0448,0.0259,0.0161,"unknown","unknown"
0.2273,7,35,3,2,0.1718,0.0265,0.0684,0.0248,"unknown","unknown"
0.5789,7,22,2,1,0.1701,0.1729,0.032,0.0615,"male","19-24"
0.1479,14,25,2,1,0.0493,0.0553,0.1316,0.2589,"female","19-24"
0.0734,11,23,2,1,0.0828,0.0991,0.018,0.0204,"male","19-24"
0.0588,6,13,1,1,0.0273,0.0356,0.034,0.0463,"male","25-30"
0.0084,10,27,2,2,0.0409,0.0383,0.0275,0.0219,"unknown","unknown"
0.0234,12,26,2,2,0.0379,0.0302,0.0304,0.0161,"male","31-40"
0.1345,11,26,2,1,0.0957,0.1201,0.0643,0.084,"male","13-18"
0.0625,8,21,2,1,0.0426,0.0491,0.0361,0.0548,"male","31-40"
0.0052,4,21,2,1,0.016,0.018,0.0042,0.0062,"male","13-18"
0.0301,12,24,1,1,0.0248,0.0286,0.0177,0.0204,"male","25-30"
0.0702,7,22,2,1,0.1048,0.103,0.0237,0.0297,"unknown","unknown"
0.0151,5,22,2,1,0.0249,0.025,0.0217,0.0367,"male","25-30"
0.0667,12,24,3,2,0.0344,0.0256,0.0738,0.0216,"unknown","unknown"
0.1109,14,25,2,1,0.1098,0.1104,0.037,0.0697,"unknown","unknown"
0,11,24,3,3,0.0153,0.0052,0.0271,0.0057,"unknown","unknown"
0.0811,8,21,2,2,0.0426,0.0308,0.0532,0.0429,"female","19-24"
0.0265,11,29,2,1,0.0574,0.0822,0.0218,0.0261,"male","13-18"
0.0231,12,20,2,1,0.0264,0.031,0.0417,0.085,"male","19-24"
0.0098,11,27,2,2,0.035,0.016,0.1006,0.0258,"unknown","unknown"
0.0198,8,20,2,2,0.0195,0.0186,0.0276,0.0094,"male","13-18"
0.0486,14,30,3,1,0.0378,0.0532,0.0172,0.0242,"male","13-18"
