"Violator","Male","Age","TimeServed","Class","Multiple","InCity"
0,1,50.2,17.03,"D",0,1
0,1,34,7.62,"C",1,0
0,1,47.9,27.81,"A",1,1
0,1,56,1.54,"E",0,0
0,1,22.2,0.84,"D",0,1
0,1,35.1,2.18,"D",1,1
0,1,82.4,1.69,"C",0,0
0,1,47.2,1.51,"D",1,0
0,1,27.9,2.19,"D",0,1
0,1,48,20.02,"C",0,1
0,1,25.6,1.04,"D",0,0
0,1,46.3,0.38,"D",0,0
0,1,32.9,5.6,"D",1,0
0,1,51.6,0.96,"B",0,1
0,1,41.6,1.39,"B",1,1
0,1,22.6,1.28,"B",0,1
0,1,49.2,25.72,"A",1,0
0,0,53.9,2.92,"C",0,0
0,1,34.5,1.44,"D",0,1
0,1,50.5,4.21,"D",1,1
0,1,56.6,22.63,"B",0,1
1,1,51.1,6.17,"E",0,0
0,1,51,2.08,"D",0,0
0,1,83.6,34.34,"B",0,1
0,1,45.9,1.29,"E",0,0
0,1,25.6,1.09,"D",0,1
0,1,35,2.91,"D",0,0
0,1,38.2,1.66,"D",0,0
0,1,44.1,1.08,"C",0,1
0,1,53.4,17.17,"C",1,0
0,1,51.6,0.59,"B",1,1
0,1,53.7,1.67,"E",0,1
0,1,33.9,1.42,"D",0,1
0,0,39.4,1.26,"E",0,0
0,1,43.4,23.13,"A",0,1
0,1,52.9,21.13,"A",0,1
0,1,41.9,1.14,"D",1,1
0,1,57.2,14.81,"B",0,1
0,1,47,2.06,"E",0,0
0,1,49.3,2.21,"E",0,1
0,1,54.7,14.77,"C",0,1
0,1,38.9,1.63,"D",1,0
0,1,42.6,1.96,"E",0,1
0,1,27,2.09,"D",0,1
0,1,42.1,0.59,"E",0,0
0,1,54.4,20.34,"A",1,1
0,1,53.4,22.21,"B",1,1
0,1,29.4,2.62,"B",1,1
0,1,56.6,29.62,"A",1,1
0,1,34.1,0.85,"D",0,0
0,1,45.3,0.83,"E",1,1
0,1,17.4,1.55,"E",0,0
0,1,27,1.69,"E",0,1
0,1,26.1,1.17,"E",0,1
0,1,30.4,1.02,"E",1,1
0,1,51.1,1.86,"E",0,0
0,0,28,0.77,"E",0,0
1,1,23.6,5.71,"D",1,0
0,1,47.8,1.25,"E",1,0
0,1,26.7,2.12,"D",1,1
0,1,60.8,1.6,"E",0,0
0,1,31.4,1.46,"E",0,0
0,1,29.4,0.7,"E",0,0
0,1,29.2,2.17,"B",0,1
0,1,47.8,8.06,"D",1,1
0,1,28.1,0.94,"D",1,0
0,1,52.7,21.05,"B",1,0
0,1,49.2,12.13,"C",0,1
0,1,43.8,15.48,"B",1,1
0,1,46.8,8.18,"B",0,0
0,1,48.6,1.55,"D",0,0
0,1,40.1,2.11,"D",1,1
0,1,48.5,25.77,"A",0,0
0,1,45.3,20.96,"B",1,0
0,1,50.8,0.19,"C",0,1
0,1,26.6,1.1,"D",1,0
0,1,49,1.21,"D",0,1
0,1,25.8,1.26,"D",1,0
0,0,53.5,1.76,"D",1,0
0,1,53.3,27.73,"A",1,1
0,1,28.7,0.52,"E",0,0
0,1,36.6,6.69,"B",0,1
0,1,22.1,0.55,"D",0,0
0,1,58.1,1.65,"D",0,0
0,0,48.3,0.69,"C",1,0
0,1,54.6,2.43,"B",0,1
0,1,37,2.43,"D",1,0
0,1,58.5,0.6,"C",0,0
0,1,50.2,2.71,"D",0,0
0,1,49.5,15.79,"C",0,1
0,1,56.1,9.89,"E",0,0
1,1,48.5,2.36,"D",0,0
1,1,36.4,2.65,"D",1,0
0,1,32.2,0.94,"D",1,1
0,1,39.9,2.07,"D",0,0
0,1,31.7,1.21,"D",0,0
0,1,44.5,19.61,"A",1,1
0,1,23,1.54,"E",0,0
0,1,47.4,1.79,"D",0,1
0,1,37.2,0.93,"E",0,1
1,1,24.3,2.63,"E",0,0
0,1,52.3,1.3,"E",0,0
0,1,26.9,1.3,"E",0,1
0,0,59.6,0.25,"C",0,0
0,0,39.1,1.59,"E",1,0
0,1,57.5,2.23,"D",0,0
0,1,42.8,10.69,"B",0,1
0,1,48.3,7.02,"C",0,0
0,1,55.6,1.17,"D",1,0
0,1,35.1,1.75,"E",0,0
0,1,39,13.69,"A",0,0
0,1,47.9,2.11,"D",0,1
0,1,42,3.3,"E",0,0
0,1,27.9,0.76,"E",0,1
0,1,25.8,1.04,"E",0,0
0,0,28.9,0.94,"E",0,0
0,1,35.6,1.19,"D",0,1
0,1,50.2,26.08,"A",0,1
0,1,19.1,1.09,"E",1,0
0,1,35.5,2.14,"D",0,0
0,0,27.6,1.1,"E",0,1
0,1,30,2.19,"D",1,1
0,1,36.1,1.66,"E",0,0
0,1,55.3,33.42,"A",1,1
0,1,59.1,28.85,"A",0,1
0,1,40.1,15.17,"B",1,1
0,1,59.2,1.11,"D",0,1
1,1,39.9,18.17,"B",0,1
0,0,33.2,1.44,"D",0,0
0,1,50.7,27.44,"A",0,1
0,1,44.5,0.74,"C",1,1
0,1,42.8,2.18,"D",1,1
0,1,49.2,28.76,"A",1,1
0,0,44.3,1.69,"D",0,0
0,1,36,17.91,"A",0,1
0,1,44.3,1.46,"E",0,0
0,1,19.5,1.21,"D",0,1
0,1,22.5,3.15,"D",0,0
0,1,50.3,1.19,"D",0,1
0,0,22,1.19,"E",0,0
1,1,42,19.87,"B",1,0
0,1,59.5,4.86,"C",0,0
0,1,42.3,0.8,"E",0,0
0,1,42.8,1.72,"E",0,1
0,1,63.4,36.52,"A",0,0
0,1,35,2.73,"E",0,0
0,1,25.7,3.87,"D",0,0
1,1,42.6,6.77,"C",0,1
1,1,27,4.75,"D",0,0
0,1,27.9,1.02,"E",0,0
0,1,50.9,7.19,"D",1,1
0,1,26.1,0.96,"D",0,0
0,0,29.9,3.75,"D",0,1
0,1,53.9,1.07,"D",1,0
0,1,56.4,9.42,"D",1,0
0,1,26.3,1.07,"D",1,0
0,1,49.4,19.71,"B",1,1
0,0,30.8,1.84,"E",0,0
1,1,58,23.85,"D",0,1
0,1,21.3,1.23,"E",0,0
0,1,33.9,15.86,"A",1,0
0,1,36.4,4.15,"B",0,0
0,1,22,1.75,"E",0,0
0,1,39.7,1.58,"E",0,0
0,1,25.4,0.55,"D",0,1
1,1,45.3,1.96,"E",0,0
0,1,56.2,1.02,"D",0,0
0,1,52.1,0.7,"D",0,0
0,1,40.3,2.46,"D",0,0
0,1,25.4,1.71,"D",1,0
0,1,22.5,2.1,"D",1,0
0,1,41.1,11.63,"B",1,0
0,1,46.5,1.31,"B",1,0
1,1,20.9,3.13,"D",0,0
0,1,52.1,1.73,"D",0,0
0,1,24.9,1.67,"D",1,0
0,0,20.9,1.25,"D",1,0
0,1,31.2,3.15,"D",0,1
0,1,49.5,16.23,"D",0,1
0,1,61.8,14.21,"D",1,0
0,1,45.6,1.69,"E",0,1
0,1,26.5,0.93,"D",1,0
0,1,53.8,31.65,"A",1,1
0,1,28.4,3.94,"C",0,0
0,1,51.4,8.04,"D",1,0
0,0,24.9,1.17,"D",0,0
0,0,46,1.03,"C",0,1
0,1,55.7,1.09,"E",1,0
0,1,33,1.94,"E",0,0
0,1,36.5,18.13,"A",1,1
0,1,41.7,21.27,"B",1,1
0,1,38.2,1.78,"E",0,1
0,1,51.6,1.42,"D",0,0
0,1,26.6,2.44,"D",0,1
0,1,56.7,19.96,"A",0,0
0,1,47.3,7.76,"B",0,1
0,1,55,1.1,"E",0,0
0,1,33.5,1.51,"D",0,1
1,1,24.1,3.39,"E",0,0
0,1,47.1,24.48,"A",0,1
0,1,50.1,6.8,"C",1,1
0,1,19.4,0.37,"D",1,0
0,0,60.7,1.19,"E",0,1
0,1,28.9,0.93,"E",1,0
0,1,31.1,3.34,"C",1,1
0,1,48.9,1.33,"D",0,0
0,1,34.4,16.91,"A",1,0
0,0,25.1,0.84,"E",1,1
0,1,54.5,6.64,"D",0,0
0,1,69.2,18.64,"A",0,0
0,1,35.4,1.72,"D",0,1
0,1,35.2,2.26,"D",0,1
0,1,53.5,20.26,"B",0,0
0,1,26.6,0.92,"E",0,0
0,1,55.3,1.83,"E",0,0
0,1,45.6,23.86,"A",1,1
0,1,41.6,2.06,"D",0,0
0,1,26.7,1.08,"E",0,0
0,1,24.6,0.54,"D",1,1
0,1,20.8,0.96,"E",0,0
0,1,51.2,24.48,"A",1,1
0,1,28,1.08,"E",0,0
0,1,43.2,1.07,"E",0,0
1,1,58.7,1.37,"D",0,0
0,1,37.3,1.17,"E",0,0
0,0,53.6,0.77,"E",0,1
0,1,22.6,1.18,"D",0,1
0,1,31.6,2.1,"D",1,1
1,1,23.3,6.12,"D",0,0
0,1,39.5,0.84,"E",0,1
0,1,23.9,1.05,"D",0,0
1,1,33.4,10.21,"C",1,0
0,1,25.2,0.88,"E",1,0
1,1,23,3.48,"D",0,0
0,1,32.2,1.17,"E",0,0
0,1,23.6,1.94,"C",1,0
0,1,34.6,4.46,"C",1,0
0,1,53.5,1.17,"E",0,0
0,0,39.9,1.04,"E",0,0
0,1,77,30.71,"A",1,1
0,1,25,0.76,"B",1,1
0,1,35,2.35,"D",0,0
0,1,43.5,0.83,"D",1,0
0,1,34.9,3.23,"D",1,0
0,1,71.5,1.88,"C",1,1
0,1,54.6,29.56,"B",1,1
0,1,27.9,2.26,"D",0,0
0,1,39.3,21.19,"A",0,1
1,1,23.5,4.09,"D",0,0
1,1,36.4,4.13,"D",0,1
0,1,22.8,3.08,"D",0,0
0,0,32.2,1.25,"C",0,1
0,1,22.7,1.08,"D",0,0
0,1,56.6,12.85,"D",0,0
0,1,48.4,17.21,"D",0,1
0,1,58.5,26.71,"A",0,1
0,1,43.8,1.26,"E",0,0
0,1,38.1,1.35,"E",0,1
0,1,21,2.26,"C",0,1
0,1,39.4,1.48,"D",0,1
0,1,25.3,1.6,"E",0,0
0,0,49.3,1.04,"E",0,0
0,1,25.3,2.1,"D",0,1
0,1,55.3,1.95,"E",1,0
0,1,47.3,3.79,"E",0,0
0,1,42.7,4.11,"D",0,0
0,1,61.1,23.38,"A",1,0
0,1,22.8,1.38,"E",0,0
0,1,25,1.72,"D",1,1
0,1,26.7,3.36,"D",0,0
0,1,50.1,25.39,"A",0,1
0,1,57.6,24.04,"A",0,1
0,1,27.8,2.14,"D",0,0
0,0,22.1,0.71,"D",0,0
0,1,40.7,0.94,"C",0,0
0,1,29,0.96,"E",0,0
0,1,56.8,29.2,"A",1,1
0,1,54.1,19.19,"B",0,1
0,1,52,22.72,"A",0,1
0,1,37.8,1.69,"C",1,0
0,1,52.3,32.05,"A",1,0
0,1,42.2,11.23,"A",0,1
0,1,25.1,0.82,"D",0,1
0,1,55.8,17.18,"B",1,0
0,1,60.9,1.6,"D",0,0
0,1,26.6,2.57,"E",0,1
0,1,61,24.44,"A",1,1
0,1,46.2,1.66,"E",0,1
0,1,30.7,0.73,"D",0,1
0,1,50.2,14.81,"D",0,1
0,1,46.9,3.06,"E",1,0
1,1,26.1,5.79,"D",0,0
0,1,77,33.28,"A",0,1
0,1,22.8,1.17,"D",0,0
1,1,28.8,7.85,"D",1,0
1,0,25,4.6,"B",1,1
0,1,62.2,35.37,"A",1,1
0,1,29.8,3.75,"D",1,1
0,0,21.8,1.76,"D",0,0
0,1,33.2,10.06,"A",1,1
0,1,30.8,13.3,"A",0,1
0,1,39.7,23.3,"B",1,1
0,1,46.6,0.54,"E",0,1
0,1,21.4,1.88,"D",0,1
0,1,78.1,0.54,"B",0,1
0,1,45.6,21.12,"A",0,1
0,1,42.5,19.48,"A",0,0
0,1,37.1,1.8,"D",0,0
0,1,58.4,8.08,"C",0,1
0,1,31.9,0.25,"D",0,1
0,1,34.2,1.96,"D",0,0
0,1,19.7,1.07,"E",0,0
0,1,29.2,1.81,"E",1,0
0,1,46.2,25.48,"A",0,1
0,0,38.1,3.77,"B",0,0
0,1,66.6,3.73,"D",1,1
0,1,37,1.66,"B",1,1
0,1,29.1,9.76,"A",1,1
0,1,34.1,0.94,"D",1,0
0,1,46.9,2.73,"D",0,1
0,1,57.4,19.13,"A",0,1
0,1,55.1,0.64,"D",0,1
0,1,24.2,1.45,"D",0,0
0,1,32.8,1.92,"D",0,0
0,1,38.6,1.46,"E",0,0
0,1,46.3,3.09,"B",1,0
0,1,22.1,1.62,"C",0,1
0,1,35.3,1.76,"C",1,0
0,1,58,27.06,"A",1,1
0,0,43.8,1.77,"D",0,0
0,1,37.9,10.77,"A",1,0
0,1,47.5,0.71,"D",1,1
0,1,51.3,10.62,"D",1,1
0,1,30.7,1.92,"C",1,1
0,0,25.9,2.44,"D",1,1
0,1,48.9,26.81,"A",1,1
0,1,25.5,1.23,"E",0,0
0,1,71.1,9.44,"B",0,0
0,1,49.1,8.76,"C",0,1
0,1,57.2,4.72,"B",0,0
0,1,27.8,1.65,"E",0,0
0,1,28.4,1.75,"D",0,0
0,1,21.2,1.77,"E",0,0
0,1,51.2,31.44,"A",0,1
0,1,24.1,1.44,"D",0,0
0,1,60.3,2.83,"B",0,1
0,1,45.3,1.13,"E",0,0
0,1,56.6,1.85,"D",1,1
0,1,30.6,1.42,"E",0,0
0,0,51.1,1.61,"E",0,0
0,1,42.6,0.87,"C",0,1
0,1,46.4,25.3,"A",1,1
0,1,22.4,2.37,"C",1,0
0,1,21.3,0.93,"E",0,0
0,1,38.6,0.71,"E",0,0
0,1,34.1,13.67,"B",0,0
0,1,41.7,1.39,"E",0,0
0,1,55.3,1.17,"E",0,0
0,1,48.1,12.37,"E",0,1
1,1,50.5,6.04,"D",0,1
0,1,35.8,1.19,"E",0,0
0,0,31.1,1.16,"D",1,1
0,1,21.3,1.85,"D",1,1
0,1,45.1,1.33,"E",1,0
0,1,25.8,1.73,"E",0,0
0,1,48.7,1.86,"D",0,0
0,1,39.4,0.93,"D",0,0
0,1,46,1.17,"D",0,1
0,1,72,17.26,"A",0,0
0,1,29.3,1.81,"E",0,0
0,1,37.5,4.97,"B",1,0
1,0,30,2.6,"E",0,0
0,0,38.5,0.76,"E",0,0
0,1,35.2,16.77,"B",1,1
0,1,41.8,7.84,"B",0,0
0,1,39,9.25,"D",0,0
0,1,47.4,21.94,"A",0,0
0,1,65.4,42.71,"A",0,0
0,1,45.4,1.25,"D",0,0
0,1,41,0.69,"E",0,0
0,1,33.3,1.33,"B",0,1
0,1,25.6,5.66,"D",1,1
0,0,53,1.19,"E",0,0
0,0,47.5,3.67,"C",1,0
0,1,47.5,24.91,"A",0,0
0,1,80.4,29.81,"A",0,1
0,0,64.1,35.1,"A",1,1
0,1,29.1,1.61,"D",1,0
1,1,25,3.81,"D",0,0
0,1,57.1,1.71,"E",0,0
0,1,48.6,9.92,"A",0,1
1,0,44.6,7.67,"B",0,0
0,1,30.6,1.8,"D",0,1
0,1,56.8,10.87,"D",1,1
0,1,58.7,0.77,"E",0,0
0,1,57.9,33.17,"A",1,0
0,1,59.9,18.21,"B",0,1
0,1,47.8,1.91,"D",1,1
0,1,56.4,22.38,"A",0,1
0,1,30,2.22,"D",0,1
0,1,23.4,1.77,"D",0,0
0,1,57.7,31.29,"A",0,0
0,1,41.3,17.7,"B",0,1
0,1,35,1.37,"E",0,1
0,1,23.1,1.23,"D",0,1
1,1,27,2.15,"E",0,0
0,1,61.1,2.82,"C",1,1
0,1,44.4,1.71,"D",0,0
0,0,34.5,1.53,"E",0,0
0,1,31.1,2.52,"C",1,1
0,1,43.2,23.25,"B",1,1
0,0,24.9,1.35,"E",0,0
0,1,54.2,30.3,"A",0,0
0,0,30.5,0.76,"E",0,0
0,1,57.5,36.44,"A",1,0
0,1,56.2,15.56,"A",0,1
0,1,52.3,2.02,"D",0,0
0,1,51.5,1.04,"D",0,1
0,1,53.5,20.53,"B",1,1
0,1,66.4,5.94,"C",0,1
0,1,58.2,1.62,"D",0,0
0,1,47.2,9.23,"C",0,1
0,1,53.7,23.65,"A",1,0
0,0,28.9,1.77,"D",0,1
0,1,19.6,0.28,"E",0,0
0,1,34,2.03,"D",0,1
0,1,34.9,16.48,"A",0,1
0,1,40.5,0.83,"E",0,1
0,1,32.2,1.58,"E",0,0
0,1,26.4,1.07,"E",0,0
1,1,23.6,5.79,"D",1,0
0,1,52.9,1.48,"E",0,0
0,1,35.5,2.15,"E",0,0
0,1,36.6,1.72,"E",0,0
0,1,45.5,0.77,"E",0,1
0,1,40.6,0.52,"E",0,0
0,0,28.9,0.76,"E",0,1
0,1,29.1,2.92,"D",1,1
0,0,27.3,3.08,"B",1,0
0,1,42.9,1.58,"D",0,0
0,1,24.5,0.6,"E",0,1
0,0,44.7,2.96,"C",0,0
0,1,60.9,2.52,"C",0,1
0,0,30.4,1.19,"E",0,0
0,1,48.5,27.73,"A",1,1
0,1,46.5,21.16,"A",1,1
0,1,54.2,31.6,"A",1,1
0,1,72.8,1.87,"E",0,1
1,1,41.4,3.08,"B",1,1
0,1,31.4,1.76,"E",0,1
0,1,31,0.95,"E",0,1
0,1,36.8,5.03,"C",1,0
0,0,39.6,17.76,"A",1,1
0,1,55.7,1.92,"D",0,0
0,1,46.6,5.66,"D",0,1
0,1,66.8,45.76,"A",1,1
0,1,49.8,7.11,"D",0,1
1,1,33.9,13.29,"B",1,1
0,1,21.7,3.88,"D",1,1
1,1,48,15.94,"C",1,0
0,1,38.3,2.42,"C",0,0
0,1,29,1.54,"D",1,1
0,1,45,24.42,"A",1,0
0,1,20.8,3.85,"D",0,0
0,1,37.2,2.05,"A",0,1
1,1,40,18.24,"B",0,1
0,1,53,19.08,"D",0,1
1,1,20.6,3.29,"E",0,0
0,1,40.1,4.1,"B",1,0
0,1,25.9,0.92,"B",1,1
0,1,21.2,2.81,"E",0,0
0,1,24.9,1.22,"E",0,0
0,1,22.1,1.72,"D",0,0
0,1,45.4,4.63,"E",0,0
0,1,31.9,1.29,"D",0,0
0,1,48,24.44,"A",0,1
0,1,46.2,16.04,"B",0,0
0,1,24.4,0.51,"D",0,0
0,1,41.4,0.59,"E",0,0
0,1,39.1,1.42,"D",0,0
0,1,21.2,0.81,"E",0,0
1,1,44,6.62,"D",0,0
1,1,23.3,2.66,"D",0,0
0,1,36.4,1.38,"D",1,0
0,1,28.9,0.85,"E",0,1
0,1,23,1.38,"D",1,0
0,1,53.4,1.82,"C",1,1
0,1,58.1,2.81,"D",1,0
0,1,57.6,12.25,"D",1,1
1,1,42.8,2.46,"D",0,1
0,1,38.9,20.04,"A",1,1
0,1,44.9,2.12,"D",1,1
0,1,69.7,1.03,"D",1,0
0,1,35.1,14.31,"B",0,1
0,1,36.9,1.24,"E",0,0
0,1,33.3,1.09,"D",0,0
0,1,21.8,1.85,"D",0,0
0,1,31.6,0.67,"E",0,1
0,1,45.3,1.52,"E",1,0
0,1,28,0.57,"D",0,0
0,1,66.5,38.06,"A",1,1
0,1,47.8,1.03,"B",1,1
0,1,58.3,38.39,"A",1,0
0,1,43.8,2.13,"D",0,1
0,1,44,17.55,"C",0,1
0,1,38.2,21.23,"A",0,1
0,1,25.8,1.15,"E",0,0
0,0,29.6,0.83,"E",0,0
1,1,20.8,3.06,"D",0,0
0,0,23.1,1.42,"D",0,1
0,1,50.1,15.18,"D",1,1
0,1,34.3,9.58,"B",0,1
0,1,49.4,14.13,"A",0,1
0,1,31.4,1.39,"E",0,0
0,1,42.9,23.26,"A",1,1
0,1,51,14.73,"C",0,1
0,1,57.9,2.24,"D",1,0
0,1,58.4,24.21,"D",0,0
0,1,47.8,23.46,"A",1,0
0,1,21.6,1.77,"E",0,1
0,1,54.5,23.52,"A",0,1
0,1,45.5,2.09,"D",0,0
0,1,29.3,1.92,"D",0,1
1,1,47.3,22.52,"A",1,0
0,1,45.3,4.63,"D",0,0
0,1,57.2,0.46,"D",1,0
0,1,51.1,20.13,"B",1,1
0,1,40.8,19.87,"A",0,1
0,1,27.2,1.85,"D",1,1
0,1,29.8,0.19,"D",0,0
0,0,33.4,1.52,"C",1,0
0,1,33.7,2.08,"D",0,0
0,0,38.7,1.42,"E",0,0
0,1,52,19.61,"C",1,1
0,1,45.1,1.83,"D",0,0
0,1,38.9,0.71,"D",0,1
0,1,64.1,0.81,"B",1,1
0,1,54.3,6.18,"D",0,0
0,1,60.9,29.33,"B",0,0
0,1,24.5,1.95,"E",0,1
0,1,42.4,4.63,"D",0,1
0,1,26,1.21,"E",0,0
0,1,29.9,1.65,"E",0,0
0,1,58.7,31.8,"A",1,1
0,1,54,18.73,"A",0,1
0,1,21.5,1.2,"D",0,0
0,1,57.7,32.52,"A",1,1
0,1,46.2,1.68,"B",0,1
0,1,51.2,23.96,"A",0,1
0,1,47.5,3.19,"D",1,1
0,1,23.7,0.33,"E",0,0
0,1,41.8,1.3,"D",0,0
0,0,25.2,1.67,"E",0,0
0,1,34.2,3.36,"C",0,0
0,1,48.6,0.84,"D",0,1
0,1,63.1,36.29,"A",1,0
0,1,28.6,1.25,"E",1,1
0,1,24.4,0.88,"D",0,0
0,0,55.8,1.62,"D",1,0
0,1,54.4,18.44,"D",0,0
0,1,51.1,16.31,"D",0,1
0,1,25.3,0.84,"E",0,0
0,1,37.8,8.31,"C",0,0
0,1,39.4,0.88,"E",0,0
0,1,57.2,1.02,"D",0,0
0,1,56.9,26.06,"C",0,1
1,1,27.3,4.38,"D",1,0
0,1,49.2,2.1,"B",0,1
0,1,19.1,0.77,"E",0,0
0,1,35.7,8.29,"B",1,1
0,0,42.9,3.77,"D",1,0
0,1,52.9,5.55,"C",0,0
0,0,26.3,0.59,"E",0,0
0,1,40.7,1.48,"E",1,0
0,0,55.6,1.17,"E",0,0
0,1,38.3,2.05,"D",1,0
0,1,49.5,18.63,"D",0,1
0,1,26.7,1.77,"D",0,0
0,1,58.9,15.54,"C",0,1
1,1,41,16.96,"C",1,1
0,1,28.6,1.81,"D",1,0
1,1,34.5,13.85,"B",1,1
0,1,40.1,17.06,"B",1,1
0,1,34,2.64,"D",0,0
0,1,31.1,4.17,"D",0,0
0,1,46.3,2.55,"C",1,0
0,1,55.9,1.17,"D",0,1
0,0,61.6,1.19,"D",1,0
0,1,43.7,2.81,"C",1,0
0,1,47.6,7.75,"D",1,0
0,1,49.3,1.25,"D",1,1
0,1,37.5,1.48,"D",1,0
0,1,44.7,3.13,"D",0,1
0,1,51,34.81,"A",0,1
0,1,50.8,23.84,"A",1,1
0,1,44.8,2.19,"D",0,1
0,1,50.5,1.59,"D",0,1
0,1,51.9,5.81,"C",0,1
0,1,41.6,22.61,"B",0,1
0,1,38.4,2.04,"C",0,1
0,1,34,18.23,"B",1,1
0,1,50.4,29.6,"A",1,0
0,1,55.7,14.57,"C",0,0
0,1,47.8,21.19,"A",0,1
0,0,28,0.53,"E",0,1
0,1,30.6,1.19,"E",0,0
0,1,53.2,3.7,"D",1,0
0,1,47.2,0.62,"E",0,1
0,1,52.1,2.39,"D",0,0
1,1,43.3,9.11,"D",1,1
1,1,35.8,2.78,"D",0,0
0,0,55,0.51,"E",0,0
0,1,37,5.75,"C",0,1
0,1,53.6,26.29,"A",0,1
0,1,44.1,16.05,"D",0,0
0,1,72.9,32.37,"A",0,0
0,1,56.7,5.83,"D",0,1
0,1,52.5,27.48,"A",0,0
0,1,26.1,6.06,"E",0,0
1,1,54.8,10.58,"B",0,1
0,1,25.7,1.28,"E",1,0
0,1,34.5,5.15,"C",0,0
0,1,38.7,13.55,"B",1,1
0,1,37.9,2.42,"D",0,0
