"Churn","MonthlyCharges","SeniorCitizen","PaymentMethod","InternetService","tenure","Contract"
0,88.95,0,"Electronic check","Fiber optic",33,"Two year"
1,78.05,1,"Electronic check","Fiber optic",27,"Month-to-month"
0,23.55,0,"Bank transfer","No",72,"Two year"
0,19.75,0,"Mailed check","No",1,"Month-to-month"
0,56.45,1,"Electronic check","DSL",71,"One year"
0,85.95,0,"Electronic check","Fiber optic",13,"Month-to-month"
1,58.6,0,"Credit card","DSL",25,"Month-to-month"
0,50.55,0,"Bank transfer","DSL",67,"Two year"
1,35.45,0,"Electronic check","DSL",1,"Month-to-month"
1,44.35,0,"Electronic check","DSL",2,"Month-to-month"
0,25.7,0,"Credit card","No",43,"Two year"
0,75,0,"Bank transfer","Fiber optic",23,"Month-to-month"
0,20.2,0,"Mailed check","No",64,"Two year"
0,19.6,0,"Mailed check","No",57,"Two year"
1,70.45,1,"Mailed check","Fiber optic",1,"Month-to-month"
0,88.05,1,"Credit card","DSL",72,"Two year"
1,71.15,0,"Electronic check","DSL",8,"Month-to-month"
0,101.05,0,"Bank transfer","Fiber optic",61,"Two year"
0,84.3,0,"Credit card","Fiber optic",64,"One year"
0,23.95,1,"Bank transfer","No",71,"Two year"
0,99.05,0,"Credit card","Fiber optic",65,"Two year"
0,19.6,0,"Mailed check","No",3,"One year"
1,45.65,0,"Electronic check","DSL",1,"Month-to-month"
0,64.5,0,"Credit card","DSL",30,"One year"
0,69.5,0,"Mailed check","DSL",15,"Month-to-month"
0,68.55,0,"Electronic check","DSL",8,"Month-to-month"
1,95,0,"Mailed check","Fiber optic",7,"Month-to-month"
0,108.15,0,"Credit card","Fiber optic",70,"One year"
0,86.1,0,"Electronic check","DSL",62,"Two year"
0,19.7,0,"Mailed check","No",6,"Month-to-month"
0,80.9,0,"Bank transfer","Fiber optic",14,"Month-to-month"
0,84.15,0,"Bank transfer","Fiber optic",22,"Month-to-month"
0,20.15,0,"Mailed check","No",22,"One year"
0,64.25,0,"Mailed check","DSL",16,"Two year"
0,25.7,0,"Bank transfer","No",10,"Two year"
0,56,0,"Electronic check","DSL",13,"Month-to-month"
1,82.4,0,"Electronic check","Fiber optic",20,"Month-to-month"
0,69.7,0,"Electronic check","Fiber optic",2,"Month-to-month"
0,73.9,0,"Bank transfer","DSL",53,"Two year"
0,20.6,0,"Mailed check","No",11,"One year"
0,19.9,0,"Mailed check","No",69,"Two year"
1,70.9,0,"Bank transfer","Fiber optic",4,"Month-to-month"
0,89.05,0,"Bank transfer","DSL",72,"Two year"
1,45.3,1,"Electronic check","DSL",58,"Month-to-month"
0,20.4,0,"Electronic check","No",16,"Month-to-month"
0,84.25,0,"Bank transfer","Fiber optic",43,"One year"
1,104.4,0,"Electronic check","Fiber optic",2,"Month-to-month"
0,81.95,0,"Mailed check","DSL",14,"Two year"
1,94.85,0,"Bank transfer","Fiber optic",53,"One year"
0,20.55,0,"Bank transfer","No",32,"One year"
0,24.7,0,"Electronic check","No",34,"Month-to-month"
1,74.45,1,"Mailed check","Fiber optic",15,"Month-to-month"
1,76.45,1,"Bank transfer","Fiber optic",7,"Month-to-month"
0,105.35,0,"Bank transfer","Fiber optic",15,"Month-to-month"
0,20.55,0,"Credit card","No",61,"One year"
1,29.95,0,"Bank transfer","DSL",1,"Month-to-month"
0,45.3,0,"Mailed check","DSL",1,"Month-to-month"
1,84.5,0,"Bank transfer","Fiber optic",8,"Month-to-month"
0,74.75,0,"Credit card","DSL",33,"One year"
1,79.25,0,"Electronic check","Fiber optic",13,"Month-to-month"
1,24.8,0,"Electronic check","DSL",1,"Month-to-month"
0,51.8,0,"Mailed check","DSL",20,"Month-to-month"
0,30.4,0,"Electronic check","DSL",3,"Month-to-month"
0,19.65,0,"Electronic check","No",13,"One year"
0,56.6,0,"Credit card","DSL",40,"Month-to-month"
0,71.9,0,"Credit card","DSL",43,"One year"
1,91,0,"Electronic check","Fiber optic",6,"Month-to-month"
0,19.75,0,"Bank transfer","No",69,"Two year"
0,109.7,0,"Credit card","Fiber optic",72,"Two year"
0,19.3,0,"Credit card","No",59,"Two year"
0,96.55,0,"Electronic check","Fiber optic",20,"Month-to-month"
0,24.1,0,"Bank transfer","No",24,"Two year"
0,111.35,0,"Electronic check","Fiber optic",59,"Month-to-month"
0,112.25,0,"Bank transfer","Fiber optic",72,"Two year"
0,20.75,0,"Mailed check","No",1,"Month-to-month"
0,101.9,0,"Credit card","Fiber optic",27,"One year"
0,80.05,0,"Credit card","Fiber optic",14,"Month-to-month"
0,105.55,0,"Electronic check","Fiber optic",71,"Two year"
0,78.3,0,"Credit card","Fiber optic",13,"Month-to-month"
0,68.85,0,"Credit card","Fiber optic",44,"Month-to-month"
0,79.95,0,"Bank transfer","Fiber optic",33,"One year"
0,55.45,0,"Credit card","DSL",72,"Two year"
1,79.9,0,"Electronic check","Fiber optic",1,"Month-to-month"
1,106.6,0,"Electronic check","Fiber optic",19,"Month-to-month"
0,102.45,0,"Credit card","Fiber optic",64,"One year"
1,46,0,"Credit card","DSL",2,"Month-to-month"
0,25.25,0,"Electronic check","DSL",1,"Month-to-month"
0,19.75,0,"Mailed check","No",61,"Two year"
0,20,0,"Electronic check","No",29,"One year"
0,86.8,1,"Electronic check","Fiber optic",23,"Month-to-month"
0,58.75,0,"Bank transfer","DSL",57,"Month-to-month"
0,45.25,0,"Credit card","DSL",72,"Two year"
0,56.6,0,"Bank transfer","DSL",66,"Two year"
0,84.2,0,"Bank transfer","DSL",65,"Two year"
0,80,0,"Bank transfer","Fiber optic",8,"Month-to-month"
1,70.15,0,"Electronic check","Fiber optic",4,"Month-to-month"
0,24.75,0,"Bank transfer","No",71,"Two year"
0,20.2,0,"Electronic check","No",1,"One year"
1,50.05,0,"Mailed check","DSL",4,"Month-to-month"
0,19.35,0,"Bank transfer","No",12,"One year"
0,50.6,0,"Mailed check","DSL",24,"One year"
0,81.15,0,"Mailed check","DSL",31,"One year"
1,55.2,0,"Mailed check","DSL",1,"Month-to-month"
0,89.9,0,"Credit card","Fiber optic",30,"Month-to-month"
0,85.3,0,"Credit card","DSL",47,"Two year"
0,108,0,"Credit card","Fiber optic",54,"Two year"
0,93.5,0,"Credit card","Fiber optic",50,"Month-to-month"
1,84.6,0,"Mailed check","Fiber optic",1,"Month-to-month"
0,20.25,0,"Credit card","No",72,"Two year"
0,25.15,0,"Electronic check","No",29,"Month-to-month"
1,54.4,0,"Mailed check","DSL",2,"Month-to-month"
0,29.6,0,"Mailed check","DSL",10,"Two year"
0,73.15,0,"Electronic check","Fiber optic",18,"Month-to-month"
1,95,1,"Electronic check","Fiber optic",11,"Month-to-month"
0,19.75,0,"Mailed check","No",16,"Two year"
0,86.6,0,"Bank transfer","DSL",72,"Two year"
0,109.2,0,"Bank transfer","Fiber optic",72,"Two year"
0,74.7,0,"Credit card","DSL",41,"One year"
0,94.4,1,"Electronic check","Fiber optic",65,"Month-to-month"
0,54.8,1,"Electronic check","DSL",13,"Month-to-month"
0,75.35,1,"Electronic check","Fiber optic",4,"Month-to-month"
0,65,0,"Mailed check","DSL",41,"One year"
1,74.4,1,"Electronic check","Fiber optic",15,"Month-to-month"
1,48.55,0,"Mailed check","DSL",1,"Month-to-month"
0,99,0,"Electronic check","Fiber optic",42,"One year"
0,93.5,0,"Electronic check","Fiber optic",51,"One year"
1,70.4,0,"Electronic check","Fiber optic",2,"Month-to-month"
1,40.2,1,"Electronic check","DSL",1,"Month-to-month"
0,83.7,0,"Credit card","DSL",32,"One year"
0,19.85,0,"Mailed check","No",10,"Month-to-month"
0,59.55,0,"Electronic check","DSL",67,"Two year"
0,115.1,0,"Credit card","Fiber optic",61,"Two year"
0,114.35,0,"Credit card","Fiber optic",50,"One year"
1,44.6,0,"Credit card","DSL",2,"Month-to-month"
0,45,1,"Electronic check","DSL",29,"Month-to-month"
1,41.15,1,"Electronic check","DSL",3,"Month-to-month"
1,106.9,1,"Electronic check","Fiber optic",13,"Month-to-month"
0,89.85,1,"Electronic check","Fiber optic",57,"Month-to-month"
0,49.85,0,"Bank transfer","DSL",31,"Two year"
0,113.3,0,"Mailed check","Fiber optic",45,"One year"
0,88.1,0,"Mailed check","DSL",61,"Two year"
0,24.9,0,"Bank transfer","No",50,"Two year"
0,105,1,"Mailed check","Fiber optic",19,"Month-to-month"
1,19.35,0,"Mailed check","No",59,"Two year"
0,24.25,0,"Credit card","No",71,"Two year"
1,94.45,1,"Electronic check","Fiber optic",16,"Month-to-month"
0,59.75,0,"Electronic check","DSL",57,"Two year"
1,24.8,0,"Bank transfer","DSL",1,"Month-to-month"
0,107.05,1,"Electronic check","Fiber optic",20,"Month-to-month"
1,70.6,0,"Mailed check","Fiber optic",1,"Month-to-month"
1,85.4,0,"Electronic check","Fiber optic",5,"Month-to-month"
1,105.05,0,"Electronic check","Fiber optic",52,"Month-to-month"
0,64.95,1,"Bank transfer","DSL",21,"Month-to-month"
0,55,0,"Electronic check","DSL",14,"Month-to-month"
0,50.55,0,"Bank transfer","DSL",5,"Month-to-month"
0,55.15,0,"Mailed check","DSL",6,"Month-to-month"
0,51.2,0,"Electronic check","DSL",10,"Month-to-month"
0,25.4,0,"Mailed check","No",1,"Month-to-month"
0,54.45,0,"Mailed check","DSL",68,"Month-to-month"
1,95.15,0,"Mailed check","Fiber optic",18,"Month-to-month"
0,76,0,"Credit card","Fiber optic",22,"One year"
0,44.35,0,"Electronic check","DSL",20,"Month-to-month"
1,70,0,"Electronic check","Fiber optic",1,"Month-to-month"
1,74.5,1,"Electronic check","Fiber optic",8,"Month-to-month"
1,44.85,0,"Credit card","DSL",10,"Month-to-month"
1,76.1,1,"Electronic check","Fiber optic",24,"Month-to-month"
0,61.2,0,"Mailed check","DSL",35,"One year"
0,86.8,0,"Mailed check","Fiber optic",23,"One year"
0,89.35,1,"Electronic check","Fiber optic",6,"Month-to-month"
0,19.7,0,"Mailed check","No",12,"Month-to-month"
0,20.25,0,"Mailed check","No",1,"Month-to-month"
0,76.05,0,"Electronic check","Fiber optic",71,"Two year"
0,100.8,1,"Electronic check","Fiber optic",35,"Month-to-month"
0,74.55,0,"Electronic check","DSL",40,"Month-to-month"
1,73.6,0,"Mailed check","Fiber optic",1,"Month-to-month"
0,64.9,0,"Bank transfer","DSL",23,"One year"
1,95.45,1,"Electronic check","Fiber optic",4,"Month-to-month"
0,90.4,0,"Electronic check","Fiber optic",4,"Month-to-month"
0,60.3,0,"Credit card","DSL",68,"Two year"
0,81.85,0,"Mailed check","Fiber optic",38,"Month-to-month"
0,24.8,0,"Mailed check","No",52,"Two year"
1,74.9,1,"Electronic check","Fiber optic",32,"Month-to-month"
0,75.55,0,"Mailed check","DSL",29,"Two year"
0,101.15,1,"Electronic check","Fiber optic",38,"Month-to-month"
0,78.75,0,"Credit card","DSL",48,"One year"
0,19.25,0,"Bank transfer","No",1,"Month-to-month"
0,89.05,0,"Electronic check","Fiber optic",22,"Month-to-month"
0,115.05,0,"Credit card","Fiber optic",43,"Two year"
0,69.35,1,"Electronic check","Fiber optic",5,"Month-to-month"
1,80.6,0,"Electronic check","Fiber optic",5,"Month-to-month"
0,110.05,0,"Credit card","Fiber optic",51,"One year"
0,19.9,0,"Credit card","No",71,"Two year"
1,80.3,0,"Credit card","DSL",38,"One year"
1,93.15,1,"Electronic check","Fiber optic",24,"Month-to-month"
0,91.5,0,"Credit card","Fiber optic",35,"Month-to-month"
1,82.45,1,"Bank transfer","DSL",54,"One year"
0,60,0,"Electronic check","DSL",72,"Two year"
0,44.8,0,"Electronic check","DSL",1,"Month-to-month"
0,48.6,0,"Mailed check","DSL",9,"One year"
0,60.05,0,"Bank transfer","DSL",69,"Two year"
0,102.7,0,"Credit card","Fiber optic",52,"Month-to-month"
0,82.9,1,"Electronic check","Fiber optic",11,"Month-to-month"
1,70.35,1,"Electronic check","Fiber optic",2,"Month-to-month"
0,35.9,1,"Electronic check","DSL",28,"Month-to-month"
0,82.65,1,"Credit card","Fiber optic",17,"Month-to-month"
0,19.85,0,"Mailed check","No",35,"Two year"
0,19.2,0,"Mailed check","No",8,"One year"
0,94.9,0,"Credit card","Fiber optic",46,"One year"
1,73.85,0,"Electronic check","Fiber optic",7,"Month-to-month"
1,80.6,0,"Mailed check","Fiber optic",2,"Month-to-month"
1,75.8,0,"Bank transfer","DSL",68,"One year"
1,104.6,0,"Electronic check","Fiber optic",43,"Two year"
0,88.15,0,"Electronic check","DSL",68,"Two year"
0,94.8,0,"Credit card","Fiber optic",36,"Month-to-month"
1,103.4,0,"Electronic check","Fiber optic",63,"Month-to-month"
0,54.65,1,"Bank transfer","DSL",32,"Month-to-month"
0,85.75,0,"Credit card","DSL",71,"Two year"
0,67.45,0,"Bank transfer","DSL",66,"Month-to-month"
0,20.5,0,"Mailed check","No",63,"One year"
0,20.25,0,"Credit card","No",41,"One year"
0,72.1,1,"Electronic check","Fiber optic",1,"Month-to-month"
1,90.4,0,"Electronic check","Fiber optic",2,"Month-to-month"
0,19.45,0,"Bank transfer","No",70,"Two year"
0,44.95,0,"Electronic check","DSL",23,"Month-to-month"
0,97,1,"Bank transfer","Fiber optic",64,"One year"
0,62.8,0,"Credit card","DSL",37,"Two year"
0,44.6,0,"Mailed check","DSL",17,"One year"
0,89.15,1,"Electronic check","Fiber optic",7,"Month-to-month"
1,84.8,0,"Bank transfer","Fiber optic",4,"Month-to-month"
1,41.9,1,"Electronic check","DSL",21,"Month-to-month"
1,80.25,0,"Bank transfer","Fiber optic",10,"Month-to-month"
0,54.1,1,"Electronic check","DSL",16,"Month-to-month"
0,105.25,0,"Electronic check","Fiber optic",64,"Two year"
1,30.75,1,"Credit card","DSL",27,"Month-to-month"
0,97.1,0,"Electronic check","Fiber optic",42,"One year"
0,20.2,0,"Mailed check","No",5,"Month-to-month"
0,98.8,0,"Bank transfer","Fiber optic",41,"Two year"
0,50.3,0,"Credit card","DSL",58,"One year"
0,20.55,0,"Mailed check","No",47,"Two year"
0,75.9,0,"Bank transfer","Fiber optic",18,"Month-to-month"
1,96.5,0,"Bank transfer","Fiber optic",5,"Month-to-month"
0,59.95,0,"Bank transfer","DSL",23,"Month-to-month"
0,19.15,0,"Mailed check","No",1,"Month-to-month"
0,98.65,0,"Credit card","Fiber optic",71,"One year"
0,112.6,0,"Credit card","Fiber optic",72,"Two year"
0,20.6,0,"Mailed check","No",33,"One year"
1,85.65,0,"Electronic check","Fiber optic",2,"Month-to-month"
0,35.75,0,"Mailed check","DSL",24,"Two year"
0,99.75,0,"Credit card","Fiber optic",56,"One year"
0,96.1,0,"Credit card","Fiber optic",37,"Month-to-month"
0,85.1,0,"Credit card","DSL",43,"One year"
0,25.35,0,"Mailed check","DSL",1,"Month-to-month"
1,104.95,0,"Bank transfer","Fiber optic",25,"Month-to-month"
0,89.65,0,"Electronic check","DSL",61,"Two year"
0,86.75,0,"Electronic check","Fiber optic",17,"One year"
0,86.2,0,"Bank transfer","Fiber optic",41,"One year"
1,50.65,0,"Mailed check","DSL",1,"Month-to-month"
0,64.8,1,"Bank transfer","DSL",72,"Two year"
1,90.85,0,"Credit card","Fiber optic",1,"Month-to-month"
0,108.1,0,"Bank transfer","Fiber optic",48,"Two year"
1,19.95,1,"Mailed check","No",11,"Month-to-month"
1,85.45,1,"Electronic check","Fiber optic",55,"Month-to-month"
0,54.75,0,"Electronic check","DSL",42,"One year"
0,90.4,0,"Mailed check","Fiber optic",44,"Month-to-month"
0,44,0,"Electronic check","DSL",1,"Month-to-month"
0,95.6,0,"Bank transfer","Fiber optic",27,"Month-to-month"
0,84.8,1,"Bank transfer","DSL",27,"Month-to-month"
0,44.3,1,"Electronic check","DSL",2,"Month-to-month"
0,19.9,0,"Mailed check","No",19,"Month-to-month"
0,95.05,1,"Electronic check","Fiber optic",42,"Month-to-month"
0,90.05,0,"Credit card","DSL",66,"Two year"
0,109.9,1,"Bank transfer","Fiber optic",33,"Month-to-month"
1,73.95,0,"Credit card","Fiber optic",34,"Month-to-month"
0,54.6,1,"Electronic check","DSL",33,"Month-to-month"
0,20.05,0,"Mailed check","No",23,"One year"
0,19.75,0,"Bank transfer","No",32,"One year"
0,20.05,0,"Credit card","No",11,"One year"
1,99.45,0,"Credit card","Fiber optic",69,"Month-to-month"
0,55.9,0,"Bank transfer","DSL",68,"One year"
0,19.7,0,"Mailed check","No",20,"Two year"
0,19.8,0,"Credit card","No",72,"Two year"
0,95.4,0,"Bank transfer","Fiber optic",60,"One year"
0,93.95,1,"Mailed check","Fiber optic",32,"Month-to-month"
1,19.9,0,"Mailed check","No",1,"Month-to-month"
1,19.6,0,"Mailed check","No",1,"Month-to-month"
1,81.35,1,"Electronic check","Fiber optic",3,"Month-to-month"
0,24.45,0,"Bank transfer","No",46,"One year"
0,74.95,0,"Electronic check","Fiber optic",29,"Month-to-month"
0,87.35,0,"Electronic check","Fiber optic",51,"Month-to-month"
0,70.65,1,"Bank transfer","Fiber optic",48,"Month-to-month"
0,73.25,0,"Bank transfer","Fiber optic",16,"Month-to-month"
0,98.7,0,"Bank transfer","Fiber optic",70,"Two year"
0,24.8,0,"Mailed check","No",40,"Two year"
1,83.3,0,"Electronic check","Fiber optic",22,"Month-to-month"
1,75.3,1,"Bank transfer","Fiber optic",1,"Month-to-month"
0,24.3,0,"Mailed check","No",5,"Month-to-month"
0,69.85,0,"Bank transfer","Fiber optic",7,"Month-to-month"
0,100.55,0,"Credit card","Fiber optic",29,"One year"
0,25.7,0,"Mailed check","No",44,"One year"
0,40.7,0,"Bank transfer","DSL",10,"Month-to-month"
0,51.65,1,"Bank transfer","DSL",55,"Month-to-month"
0,105.1,1,"Bank transfer","Fiber optic",52,"One year"
0,85.95,0,"Electronic check","Fiber optic",10,"Month-to-month"
0,75.6,0,"Bank transfer","Fiber optic",18,"Month-to-month"
0,58.25,0,"Bank transfer","DSL",68,"One year"
1,19.4,0,"Mailed check","No",61,"Month-to-month"
0,65.2,0,"Credit card","DSL",72,"Two year"
0,53.45,0,"Electronic check","DSL",2,"Month-to-month"
1,45.4,0,"Bank transfer","DSL",12,"Month-to-month"
0,19.75,0,"Electronic check","No",41,"Two year"
0,44.45,0,"Credit card","DSL",26,"Month-to-month"
0,20.85,0,"Bank transfer","No",36,"One year"
0,114.05,0,"Credit card","Fiber optic",72,"Two year"
0,89.85,0,"Bank transfer","Fiber optic",35,"Month-to-month"
0,55.05,0,"Mailed check","DSL",1,"Month-to-month"
0,112.95,0,"Electronic check","Fiber optic",16,"Month-to-month"
0,101.55,1,"Credit card","Fiber optic",49,"Month-to-month"
0,114.65,0,"Mailed check","Fiber optic",54,"One year"
0,64.8,0,"Electronic check","DSL",18,"Month-to-month"
0,80.4,0,"Electronic check","Fiber optic",36,"Month-to-month"
1,105.9,0,"Electronic check","Fiber optic",60,"Month-to-month"
1,69.55,0,"Mailed check","Fiber optic",1,"Month-to-month"
0,25.05,0,"Bank transfer","No",52,"Two year"
0,94.75,0,"Electronic check","Fiber optic",8,"Month-to-month"
0,105.5,0,"Bank transfer","Fiber optic",72,"Two year"
0,24.7,0,"Mailed check","No",64,"One year"
0,69.75,1,"Mailed check","DSL",22,"Month-to-month"
0,60.2,0,"Bank transfer","DSL",60,"Month-to-month"
1,81.05,0,"Electronic check","Fiber optic",28,"Month-to-month"
0,24.4,0,"Mailed check","No",61,"Two year"
0,104.15,0,"Electronic check","Fiber optic",24,"Month-to-month"
0,92.9,0,"Bank transfer","Fiber optic",28,"One year"
0,80.8,0,"Bank transfer","DSL",30,"Two year"
0,20,0,"Mailed check","No",2,"Month-to-month"
0,75.1,0,"Electronic check","Fiber optic",1,"Month-to-month"
0,19.65,0,"Mailed check","No",6,"Month-to-month"
0,69.45,0,"Bank transfer","DSL",24,"Month-to-month"
1,101.15,0,"Electronic check","Fiber optic",4,"Month-to-month"
1,99.8,0,"Electronic check","Fiber optic",7,"Month-to-month"
0,116.05,1,"Bank transfer","Fiber optic",72,"Two year"
0,40.05,0,"Mailed check","DSL",70,"Two year"
0,102.1,1,"Electronic check","Fiber optic",64,"Two year"
0,89.7,0,"Electronic check","Fiber optic",72,"One year"
0,19.9,0,"Mailed check","No",44,"Two year"
1,55.95,0,"Electronic check","DSL",13,"Month-to-month"
0,20.65,1,"Mailed check","No",17,"One year"
1,55,0,"Electronic check","DSL",1,"Month-to-month"
0,70.05,0,"Mailed check","DSL",9,"Month-to-month"
