"not.fully.paid","installment","log.annual.inc","fico","revol.bal","inq.last.6mths","pub.rec"
1,288.89,5.04921802254978,702,27.786,2,1
1,87.88,5.04921802254978,702,27.786,2,1
0,381.66,5.07918124528145,722,7.335,1,0
0,197.06,4.69460519956035,672,0,1,0
0,83.92,4.60205998998335,737,19.21,0,0
0,481.48,4.60205998998335,717,11.601,3,0
0,253.16,4.41497334927213,697,0.991,1,0
0,77.69,5.71767050436387,762,141.287,5,0
0,97,5.07918124528145,687,0.199,1,0
1,259.87,5.07918124528145,692,63.58,1,0
0,124.3,4.7958800192009,772,0.773,0,0
0,67.68,4.25527250515616,662,1.042,3,0
1,406.07,4.43136376199339,662,0.137,1,0
0,241.41,4.98227123284415,712,1.944,0,1
1,170.72,4.57978359717769,662,16.613,1,0
0,293.85,4.07918124614745,737,0,1,0
0,318.09,4.69897000242066,662,5.181,3,1
0,63.79,4.38021124200255,727,0.597,2,0
0,217.52,4.77815124986065,807,3.202,1,0
0,667.74,5.12385164218142,687,46.086,0,0
1,133.55,4.69897000242066,662,9.38,1,1
0,421.14,4.60205998998335,752,35.944,2,0
0,339.94,4.69460519956035,672,0,0,0
0,365.51,4.77815124986065,702,7.973,0,0
0,313.69,4.39093510626934,752,8.522,1,0
0,876.83,5.07918124528145,677,62.976,2,0
0,316.99,4.47712125443985,667,7.429,0,0
1,701.12,4.68124123742335,682,0.639,1,0
0,485,4.94594103151759,732,14.903,0,0
0,133.55,4.60201656053516,662,2.923,3,0
0,362.39,5.02938377618948,757,18.314,1,0
0,108.27,4.45939248944254,777,0.15,1,0
0,240.39,4.23754373798738,662,0,2,0
0,62.15,4.83245781615454,767,2.475,1,0
0,66.18,4.29666519039936,722,1.489,1,0
0,327.82,4.61804809835425,702,15.368,0,0
1,69.14,5.07918124528145,762,21.521,1,0
1,313.3,4.78675142279682,702,4.781,2,0
0,329.34,4.89489178675454,692,8.473,3,1
0,292.97,4.65896484461768,677,8.494,1,0
0,315.12,4.84260924120768,762,11.333,5,0
1,225.86,4.78675142279682,762,9.366,4,0
0,63.03,4.54486145673447,742,4.922,0,0
1,536.57,4.95999484003848,677,23.129,0,0
0,126.29,4.79934055146277,667,29.736,3,0
0,192.23,5.04139268308466,722,67.232,1,0
0,97,4.68124123742335,692,0,0,0
0,318.93,4.88789848602963,727,11.496,0,0
0,228.45,4.56229286464297,687,6.999,0,0
0,72.78,4.59406090232486,667,4.863,0,0
0,16.47,4.29003461155715,667,12.229,0,1
0,124.89,4.76042248486334,767,2.325,0,0
1,262.26,4.85733249730064,687,14.653,0,0
0,236.34,4.87506126229795,742,4.286,0,0
0,265.87,4.65015845563267,677,8.009,0,0
1,101.47,4.55630250187984,742,2.353,0,0
0,218.55,4.69806573182222,767,6.634,0,0
0,38.8,4.47712125443985,702,0,0,0
0,247,4.85733249730064,682,5.608,0,0
1,673.79,4.68124123742335,682,13.649,1,0
0,79.96,4.57978359717769,677,9.973,0,0
0,498.51,4.6720978576351,677,16.502,0,0
1,692.14,4.88081359259849,667,15.773,0,0
0,800.95,4.81291335713023,777,3.326,6,0
0,289.69,4.33445375129327,712,7.263,0,0
0,264.71,4.58092497519147,767,3.451,0,0
0,117.38,4.68124123742335,662,16.77,0,0
0,293.72,4.55630250187984,692,17.042,0,0
0,563.4,4.77815124986065,697,10.686,0,0
0,318.93,5.21748394296196,732,0.045,0,0
0,230.68,4.51182990440165,717,3.247,1,0
0,730.04,4.87506126229795,677,27.839,0,0
0,312.22,5.06258198468678,807,0,1,0
0,250.95,4.77815124986065,757,17.246,1,0
0,514.49,4.68124123742335,667,14.036,0,0
0,16.25,4.41497334927213,692,5.643,0,0
0,372.22,4.65321251431715,697,17.85,1,0
0,320.38,4.74036268766386,722,8.382,1,0
0,504.13,4.92427928700628,662,24.28,3,0
0,413.51,4.55630250187984,677,8.375,3,0
0,485,4.92427928700628,742,6.437,4,0
0,307.66,4.79239168774925,697,16.89,0,0
0,130.54,4.50514997754605,682,0.887,0,0
1,370.59,4.72015930402278,667,17.771,2,0
0,539.03,4.63346845354896,677,13.115,2,0
1,312.22,4.38021124200255,787,5.028,0,0
1,70.17,4.04253613658919,692,0.001,2,1
0,440.57,4.57054293976844,702,10.251,0,0
0,175.42,4.56820172336067,727,6.566,1,0
0,194.91,4.69897000242066,687,9.516,1,0
0,165.41,4.77815124986065,672,2.126,1,0
1,406.07,4.65321251431715,662,7.209,1,0
1,82.71,4.79239168774925,677,7.18,3,0
0,189.08,4.60745502187069,727,7.386,0,0
0,57.23,4.54406804414548,772,6.035,0,0
1,338.39,5.07918124528145,662,28.653,0,0
0,498.51,4.99999999784146,682,49.459,1,0
0,737.78,4.95424250973794,697,22.738,0,0
1,306.18,4.79239168774925,742,24.406,1,0
0,592.7,4.49136169232845,747,25.946,0,0
0,611.1,4.64345267522656,732,0,0,0
0,461.35,4.94481813273402,732,4.765,0,1
0,841.76,4.87506126229795,662,15.222,0,0
0,244.76,4.92941892768058,687,8.035,1,1
1,452.67,4.87506126229795,722,14.214,0,0
0,649.68,5.06258198468678,732,23.442,2,0
0,226.89,5.24303804742439,742,101.443,6,0
0,498.51,4.99999999784146,677,25.988,1,0
1,880.78,5.0530784444847,682,51.039,0,0
0,658.67,4.76237842995032,702,23.37,1,0
0,231.57,5.3010299976052,692,119.42,0,0
0,258.67,4.69897000242066,702,0,0,0
0,157.36,4.66275783364839,677,15.564,1,0
0,300.48,4.92941892768058,677,13.686,1,0
0,658.67,5.57403126557685,702,6.921,2,0
0,129.34,4.55630250187984,697,4.22,2,0
0,170.72,4.85733249730064,662,29.877,2,0
1,101.52,4.54708519214194,697,21.573,1,0
1,365.51,4.90308998540416,697,18.316,1,0
0,337.19,4.38021124200255,782,1.458,1,0
0,382.72,4.60205998998335,747,3.179,1,1
0,403.36,4.81291335713023,757,4.365,0,0
0,305.97,4.77815124986065,797,0.209,0,0
0,676.78,4.69897000242066,692,12.573,2,0
1,767.89,4.97772360503579,702,0.806,2,0
1,491.73,4.50514997754605,697,4.134,1,0
0,496.22,4.81954393510386,682,0,1,0
0,228.45,4.84198480391571,692,22.157,0,0
0,819.54,4.95424250973794,722,54.925,0,0
0,261.08,4.89209460457023,692,50.908,0,0
0,81.59,5.02938377618948,682,16.164,1,0
1,278.22,5.04139268308466,702,14.046,0,0
0,312.22,4.34635297537987,792,4.767,0,0
0,59.28,4.86332286006377,692,23.882,0,0
0,376.43,4.30102999586544,782,0.674,1,0
0,804.69,4.85733249730064,757,56.842,6,0
0,812.09,5.26966002121659,727,19.948,2,0
0,130.54,4.69897000242066,687,10.979,0,0
0,329.34,4.60205998998335,692,14.643,0,0
0,99.25,4.74193907674544,682,15.68,1,0
0,381.58,4.47712125443985,667,16.67,0,0
0,310.03,4.87273882912653,697,2.624,1,0
0,78.78,4.49136169232845,722,2.773,1,0
0,608.72,4.83884908918274,767,2.279,3,0
0,386.25,4.89209460457023,722,28.11,0,0
0,669.76,5.37474834595918,792,0.997,2,0
0,478.4,4.74036268766386,747,2.787,1,0
1,567.22,4.80617997296685,772,1.612,4,0
0,346.07,4.81291335713023,672,10.214,1,1
0,685.99,4.68124123742335,672,19.892,2,0
0,255.15,4.54406804414548,727,1.834,1,0
0,498.51,5.30535137101732,682,108.397,3,0
0,124.89,4.81291335713023,757,3.348,0,0
0,217.52,4.51851393968306,772,0.983,1,0
0,241.41,4.80617997296685,712,0.603,0,0
0,406.07,4.69769129614876,692,13.662,0,0
0,467.45,4.7958800192009,687,26.044,3,0
0,386.25,4.39794000699986,732,16.212,0,0
0,257.5,4.55630250187984,762,8.516,0,0
0,62.74,4.47712125443985,732,3.953,0,0
0,223.26,4.94448267064736,727,12.672,3,0
0,320.38,4.71264970098895,717,1.346,2,0
0,318.93,4.65321251431715,732,12.425,0,0
1,527.52,4.62324929158548,667,12.032,3,1
0,327.83,4.75891189139577,802,14.377,0,0
1,640.76,4.90308998540416,767,0.464,8,0
0,196.84,4.54933437720605,697,10.9,3,0
0,42.23,4.6720978576351,707,7.006,1,1
0,136,4.68124123742335,717,19.708,0,0
0,182.77,4.86923171878148,707,30.949,0,0
0,194.91,4.57978359717769,697,6.101,3,0
0,94.46,4.39794000699986,727,1.235,0,0
0,450.67,4.54406804414548,692,18.028,1,0
0,387.32,4.73239376175714,742,8.828,5,0
0,47.45,4.24412861862703,722,6.033,1,0
0,201.5,4.69897000242066,752,64.885,0,0
0,405.72,4.91381385401389,672,27.905,1,0
0,336.98,4.9547055110851,692,14.081,0,1
1,333.7,4.77815124986065,787,0.426,0,0
0,655,4.90110943753477,672,12.301,1,0
0,101.21,4.25527250515616,722,0,0,0
0,533.77,4.30102999586544,737,2.248,0,0
0,16.31,3.8978491293582,682,0.044,2,0
0,807.62,4.56820172336067,767,2.296,3,0
1,347.5,4.84509803956628,702,16.264,3,0
0,194.71,4.63346845354896,702,12.758,0,0
0,188.02,4.68124123742335,792,2.573,1,0
0,237.95,4.83884908918274,762,15.176,0,0
0,148.61,4.62324929158548,727,7.239,2,0
0,189.77,4.59106460914942,722,11.217,3,0
0,84,4.44715803170818,702,12.979,0,0
0,192.93,5.3010299976052,707,21.894,2,0
0,431.6,4.91907809377505,682,4.933,2,0
0,339.06,4.49692964724964,722,6.206,0,0
0,225.09,4.44090908132464,717,16.326,2,0
0,243.38,4.65321251431715,707,0.033,0,0
0,24.84,4.54406804414548,777,19.901,0,0
0,90.88,4.2787536008883,737,4.385,0,0
0,589.2,4.64345267522656,677,18.966,2,0
0,96.03,4.87506126229795,712,8.788,0,1
0,48.91,4.62324929158548,697,1.276,1,0
0,200.12,4.55630250187984,672,22.635,0,0
0,199.61,5.00603795493685,777,1.715,1,0
0,310.24,5.00603795493685,777,1.715,1,0
0,80.39,4.34242268067435,737,2.574,1,0
0,160.57,4.77085201038796,767,25.336,0,0
1,343,4.46442992759642,667,18.485,1,1
0,272.09,4.69900474597921,737,9.048,1,0
0,307.67,4.69196510169014,672,14.421,0,0
0,200.17,4.30963016749873,742,9.121,1,0
0,260.82,5.3324384611708,707,120.563,0,0
0,94.01,4.36172783388465,742,0.71,4,0
0,46.63,4.81291335713023,707,20.762,2,0
0,189.77,4.62662774653321,732,1.839,3,0
0,627.02,4.95424250973794,767,8.629,0,0
0,330.53,4.69548167531195,687,11.735,2,0
0,584.12,4.90308998540416,717,5.506,1,0
1,199.2,4.76937732438816,672,3.831,0,0
0,187.14,4.87506126229795,802,6.094,0,0
0,193.83,4.60205998998335,712,15.597,1,0
0,807.62,5.15836249272144,762,52.214,8,0
1,644.71,4.41497334927213,762,0.507,0,0
0,195.61,4.51038412938551,687,0,1,0
0,163.77,4.57403126687715,682,4.76,0,0
1,856.63,4.81954393510386,707,25.16,2,0
1,327.53,4.47712125443985,707,10.837,1,0
0,313.37,5.0606978415065,777,90.335,3,0
0,128.62,4.79934055146277,712,4.01,0,0
0,167.54,4.39794000699986,667,3.389,2,1
0,501.73,4.87506126229795,707,39.702,0,0
0,544.17,4.77815124986065,762,0.653,2,0
0,188.02,4.77815124986065,762,5.274,1,0
0,90.07,4.71600334469293,677,11.788,3,0
0,93.14,4.24484590894782,772,0.122,0,0
0,348.87,4.74033110142619,662,22.122,2,0
0,155.95,4.44715803170818,792,0.103,0,0
0,347.27,4.91698004753359,722,8.866,1,1
0,493.5,4.99999999784146,697,4.929,1,0
0,80.39,4.55630250187984,702,11.794,0,0
0,507.36,4.62324929158548,717,0.462,2,1
1,608.58,4.77815124986065,687,5.855,0,1
0,646.1,4.77815124986065,742,6.688,0,0
0,25.02,4.2787536008883,707,12.22,0,0
0,195.61,4.52633927914817,717,8.736,1,0
0,507.15,4.8413594719771,672,0.17,0,0
0,548.25,4.71305350799822,662,15.923,0,0
0,142.33,4.00000000001034,727,0,0,0
1,495.79,4.55630250187984,692,1.34,2,0
0,327.53,4.39102336793689,692,8.575,0,0
0,98.26,4.61278385859309,682,21.498,1,0
0,587.82,5.01703334011373,667,32.406,1,0
0,131.97,4.24848822558815,672,7.902,2,0
1,330.53,4.96567197224948,677,46.789,3,0
0,254.65,4.88396788644939,667,7.897,1,0
0,236.88,4.56820172336067,742,6.422,2,0
0,313.37,4.39794000699986,802,1.467,0,0
0,826.31,4.99999999784146,722,16.694,0,0
0,156.69,4.50406288199957,762,1.698,0,0
0,318.72,4.56815477178424,702,8.801,0,0
0,171.18,4.65321251431715,732,5.5,0,0
0,373.21,4.77815124986065,757,3.282,3,0
1,820.91,5.07918124528145,697,23.908,3,0
1,815.04,4.71600334469293,727,6.088,0,0
0,358.62,4.77815124986065,707,2.217,2,0
0,213.72,4.90533706414003,677,22.247,1,0
0,99.6,4.89209460457023,672,14.555,0,0
0,409.73,4.99999999784146,742,15.491,3,0
1,341.15,4.76342799376768,702,24.299,0,0
1,535.02,5.02938377618948,662,44.543,0,0
0,160.78,4.53781909376194,712,3.735,0,0
0,129.22,4.51054500943339,717,2.352,1,0
0,335.07,4.71600334469293,672,7.607,0,0
0,294.78,4.65321251431715,687,12.303,0,0
0,233.65,4.68124123742335,702,5.824,0,0
1,504.84,4.65321251431715,677,5.071,1,0
0,486.76,4.72678424051108,717,0.024,0,0
0,398.4,4.65321251431715,702,16.616,0,0
1,671.44,4.58433122498605,722,31.566,1,0
0,670.13,4.57978359717769,687,4.11,0,0
0,521.63,4.60201656053516,722,16.738,1,0
0,803.87,5.3010299976052,777,54.392,0,0
0,98.26,4.88015594046455,717,46.427,0,0
0,135.61,4.38021124200255,662,10.944,1,0
0,676.2,4.90308998540416,697,16.805,0,0
0,321.55,4.57978359717769,722,9.255,0,0
