Winery,Year,Age,LogAuction,WinterRain,HarvestRain,GrowTemp,HarvestTemp,FrancePop,USAlcConsump
Lafite-Rothschild,1992,23,6.355951398,487.8,341.6,18,17.34,57.24,8.47
Beychevelle,1993,22,4.090336541,445,278.9,17.51,16.67,57.47,8.25
Cheval Blanc,1993,22,5.956873102,445,278.9,17.51,16.67,57.47,8.25
Cos d'Estournel,1993,22,4.534962291,445,278.9,17.51,16.67,57.47,8.25
Giscours,1993,22,3.803546529,445,278.9,17.51,16.67,57.47,8.25
Lafite-Rothschild,1993,22,6.264692663,445,278.9,17.51,16.67,57.47,8.25
Cheval Blanc,1994,21,5.850476854,708,220,18.22,17.11,57.66,8.15
Cos d'Estournel,1994,21,4.500698164,708,220,18.22,17.11,57.66,8.15
Lafite-Rothschild,1994,21,6.185035096,708,220,18.22,17.11,57.66,8.15
Beychevelle,1995,20,4.275832438,572,170.8,18.42,16.47,57.84,8.08
Cheval Blanc,1995,20,5.867515667,572,170.8,18.42,16.47,57.84,8.08
Cos d'Estournel,1995,20,5.079352572,572,170.8,18.42,16.47,57.84,8.08
Giscours,1995,20,3.907010464,572,170.8,18.42,16.47,57.84,8.08
Lafite-Rothschild,1995,20,6.466486812,572,170.8,18.42,16.47,57.84,8.08
Beychevelle,1996,19,4.516338972,636.2,256,17.79,16.56,58.03,8.21
Cheval Blanc,1996,19,5.881956554,636.2,256,17.79,16.56,58.03,8.21
Cos d'Estournel,1996,19,5.040647068,636.2,256,17.79,16.56,58.03,8.21
Giscours,1996,19,3.999301014,636.2,256,17.79,16.56,58.03,8.21
Lafite-Rothschild,1996,19,6.755931889,636.2,256,17.79,16.56,58.03,8.21
Beychevelle,1997,18,4.130837199,460.5,112.2,19.1,19.96,58.21,8.07
Cheval Blanc,1997,18,5.693058511,460.5,112.2,19.1,19.96,58.21,8.07
Cos d'Estournel,1997,18,4.441120674,460.5,112.2,19.1,19.96,58.21,8.07
Giscours,1997,18,3.672750072,460.5,112.2,19.1,19.96,58.21,8.07
Lafite-Rothschild,1997,18,6.232781949,460.5,112.2,19.1,19.96,58.21,8.07
Beychevelle,1998,17,4.339640918,693.4,197,18.3,18.9,58.4,8.1
Cheval Blanc,1998,17,6.016401032,693.4,197,18.3,18.9,58.4,8.1
Cos d'Estournel,1998,17,4.616011209,693.4,197,18.3,18.9,58.4,8.1
Giscours,1998,17,3.86786211,693.4,197,18.3,18.9,58.4,8.1
Lafite-Rothschild,1998,17,6.36005818,693.4,197,18.3,18.9,58.4,8.1
Beychevelle,1999,16,3.939054344,502.4,253.4,19.07,20.05,58.66,8.17
Cheval Blanc,1999,16,5.84209409,502.4,253.4,19.07,20.05,58.66,8.17
Cos d'Estournel,1999,16,4.653579325,502.4,253.4,19.07,20.05,58.66,8.17
Giscours,1999,16,3.714303506,502.4,253.4,19.07,20.05,58.66,8.17
Lafite-Rothschild,1999,16,6.397512818,502.4,253.4,19.07,20.05,58.66,8.17
Beychevelle,2000,15,4.71160013,487.8,69,18.73,19.45,59.05,8.24
Cheval Blanc,2000,15,6.308189512,487.8,69,18.73,19.45,59.05,8.24
Cos d'Estournel,2000,15,5.112590017,487.8,69,18.73,19.45,59.05,8.24
Giscours,2000,15,4.330338526,487.8,69,18.73,19.45,59.05,8.24
Lafite-Rothschild,2000,15,7.060587948,487.8,69,18.73,19.45,59.05,8.24
